time	Acetate	OD600	NO3	NO2	N2O
0	18.0313603	0.01093	9.14450462	0.09977915	0
23	17.790639	0.01587	8.96789616	0.15669718	0.01533133
42	18.4275787	0.0203	9.53193944	0.07956527	0.00761067
71	18.2586252	0.04493	8.64944902	0.10775832	0.31666667
77	18.5374732	0.062467	8.66269466	0.09445971	0.53458002
95	17.3219052	0.106167	7.07597799	0.12690831	1.81498113
119	16.7230922	0.17189	5.45062822	0.13914303	3.74049231
142	16.0084041	0.2235	4.37442039	0.12690831	4.16233813
165	15.139714	0.289167	3.32304813	0.12478053	4.30058155
216	14.2351401	0.3683	1.84560795	0.09445971	4.2472569
336	12.6173731	0.41167	0.1104298	0.09339582	4.10212792
