Title,Sample Name,Nitrous Oxide,,
Alex_Tests_A1_952023_001.gcd ,A1 ,0.000 ,,
Alex_Tests_B1_952023_002.gcd ,B1 ,0.000 ,,
Alex_Tests_C1_952023_003.gcd ,C1 ,0.000 ,,
Alex_Tests_D1_952023_004.gcd ,D1 ,0.000 ,,
Alex_Tests_E1_952023_005.gcd ,E1 ,0.000 ,,
Alex_Tests_F1_952023_006.gcd ,F1 ,312.329 ,,
Alex_Tests_G1_952023_007.gcd ,G1 ,233.274 ,,
Alex_Tests_A2_952023_008.gcd ,A2 ,0.000 ,,
Alex_Tests_B2_952023_009.gcd ,B2 ,0.000 ,,
Alex_Tests_C2_952023_010.gcd ,C2 ,0.000 ,,
Alex_Tests_D2_952023_011.gcd ,D2 ,0.000 ,,
Alex_Tests_E2_952023_012.gcd ,E2 ,0.000 ,,
Alex_Tests_F2_952023_013.gcd ,F2 ,331.613 ,,
Alex_Tests_G2_952023_014.gcd ,G2 ,236.025 ,,
Alex_Tests_A3_952023_015.gcd ,A3 ,0.000 ,,
Alex_Tests_B3_952023_016.gcd ,B3 ,0.000 ,,
Alex_Tests_C3_952023_017.gcd ,C3 ,0.000 ,,
Alex_Tests_D3_952023_018.gcd ,D3 ,0.000 ,,
Alex_Tests_E3_952023_019.gcd ,E3 ,0.000 ,,
Alex_Tests_F3_952023_020.gcd ,F3 ,330.008 ,,
Alex_Tests_G3_952023_021.gcd ,G3 ,246.013 ,,
Alex_Tests_A4_952023_022.gcd ,A4 ,0.000 ,,
Alex_Tests_B4_952023_023.gcd ,B4 ,0.000 ,,
Alex_Tests_C4_952023_024.gcd ,C4 ,0.000 ,,
Alex_Tests_D4_952023_025.gcd ,D4 ,0.000 ,,
Alex_Tests_E4_952023_026.gcd ,E4 ,0.000 ,,
Alex_Tests_F4_952023_027.gcd ,F4 ,324.105 ,,
Alex_Tests_G4_952023_028.gcd ,G4 ,279.716 ,,
Alex_Tests_A5_952023_029.gcd ,A5 ,0.000 ,,
Alex_Tests_B5_952023_030.gcd ,B5 ,0.000 ,,
Alex_Tests_C5_952023_031.gcd ,C5 ,0.000 ,,
