,Line,Strain,Counts,Percent
0,Nitrate_10mM-R1,FW510-R12,1227122184.19,34.38348350461535
1,Nitrate_10mM-R1,GW101-3H11,2341807019.93,65.61651649538464
2,Nitrate_10mM-R2,FW510-R12,1311085721.44,34.749273265081904
3,Nitrate_10mM-R2,GW101-3H11,2461901734.84,65.25072673491809
4,Nitrate_10mM-R3,FW510-R12,1293562844.07,34.011516953813086
5,Nitrate_10mM-R3,GW101-3H11,2509745446.55,65.98848304618693
6,Nitrate_10mM-R4,FW510-R12,1405317679.34,36.28723154180335
7,Nitrate_10mM-R4,GW101-3H11,2467443122.82,63.712768458196656
8,Nitrate_10mM-R5,FW510-R12,1210015813.95,32.373514179096446
9,Nitrate_10mM-R5,GW101-3H11,2527656306.71,67.62648582090355
10,Nitrate_10mM-R6,FW510-R12,1299592978.32,34.411676813875715
11,Nitrate_10mM-R6,GW101-3H11,2477011647.34,65.58832318612428
12,Nitrate_10mM-R7,FW510-R12,1238285705.92,32.96878211834861
13,Nitrate_10mM-R7,GW101-3H11,2517648321.23,67.03121788165139
14,Nitrate_10mM-R8,FW510-R12,1241308751.22,34.24428591377073
15,Nitrate_10mM-R8,GW101-3H11,2383555129.27,65.75571408622928
16,Nitrate_1mM-R1,FW510-R12,1589350521.13,41.62509687318164
17,Nitrate_1mM-R1,GW101-3H11,2228900102.94,58.37490312681836
18,Nitrate_1mM-R2,FW510-R12,1315397946.54,36.95325142535875
19,Nitrate_1mM-R2,GW101-3H11,2244229138.5,63.04674857464125
20,Nitrate_1mM-R3,FW510-R12,1268997756.51,36.60595552262851
21,Nitrate_1mM-R3,GW101-3H11,2197645139.14,63.3940444773715
22,Nitrate_1mM-R4,FW510-R12,1304549897.77,38.133355199587584
23,Nitrate_1mM-R4,GW101-3H11,2116470599.75,61.866644800412416
24,Nitrate_1mM-R5,FW510-R12,1307546505.79,38.010301695134906
25,Nitrate_1mM-R5,GW101-3H11,2132432782.66,61.9896983048651
26,Nitrate_1mM-R6,FW510-R12,1215732638.41,34.62240396374077
27,Nitrate_1mM-R6,GW101-3H11,2295671825.83,65.37759603625923
28,Nitrate_1mM-R7,FW510-R12,1275991343.85,36.71319486967258
29,Nitrate_1mM-R7,GW101-3H11,2199574725.46,63.286805130327416
30,Nitrate_1mM-R8,FW510-R12,964973512.71,28.705164671335286
31,Nitrate_1mM-R8,GW101-3H11,2396698589.71,71.29483532866472
32,Nitrate_20mM-R1,FW510-R12,1494608210.01,38.819378331724664
33,Nitrate_20mM-R1,GW101-3H11,2355551875.6,61.18062166827534
34,Nitrate_20mM-R2,FW510-R12,1496614404.66,39.10279129901296
35,Nitrate_20mM-R2,GW101-3H11,2330770687.15,60.89720870098703
36,Nitrate_20mM-R3,FW510-R12,1410741987.29,37.185707556014364
37,Nitrate_20mM-R3,GW101-3H11,2383032771.91,62.81429244398564
38,Nitrate_20mM-R4,FW510-R12,1545176487.13,40.350406644992525
39,Nitrate_20mM-R4,GW101-3H11,2284218593.63,59.64959335500747
40,Nitrate_20mM-R5,FW510-R12,1317064867.31,35.32156038460729
41,Nitrate_20mM-R5,GW101-3H11,2411719628.53,64.67843961539272
42,Nitrate_20mM-R6,FW510-R12,1412644231.28,37.66186377275619
43,Nitrate_20mM-R6,GW101-3H11,2338216957.65,62.3381362272438
44,Nitrate_20mM-R7,FW510-R12,1378049081.64,36.260183796586176
45,Nitrate_20mM-R7,GW101-3H11,2422397957.93,63.739816203413824
46,Nitrate_20mM-R8,FW510-R12,1416611021.39,37.27323013450715
47,Nitrate_20mM-R8,GW101-3H11,2384001418.9,62.72676986549285
48,Nitrate_2mM-R1,FW510-R12,1381047485.79,37.1045941972857
49,Nitrate_2mM-R1,GW101-3H11,2340991565.35,62.89540580271431
50,Nitrate_2mM-R2,FW510-R12,1414101258.94,37.130629809454625
51,Nitrate_2mM-R2,GW101-3H11,2394348170.0,62.869370190545375
52,Nitrate_2mM-R3,FW510-R12,1288228048.23,34.07579673996439
53,Nitrate_2mM-R3,GW101-3H11,2492250096.0099998,65.92420326003561
54,Nitrate_2mM-R4,FW510-R12,1433825990.97,36.83777351466728
55,Nitrate_2mM-R4,GW101-3H11,2458445050.87,63.16222648533271
56,Nitrate_2mM-R5,FW510-R12,1240583912.81,32.20708388005445
57,Nitrate_2mM-R5,GW101-3H11,2611313754.89,67.79291611994556
58,Nitrate_2mM-R6,FW510-R12,1270812053.1299999,34.422946768349014
59,Nitrate_2mM-R6,GW101-3H11,2420946417.41,65.57705323165098
60,Nitrate_2mM-R7,FW510-R12,1229878135.92,32.13241705865346
61,Nitrate_2mM-R7,GW101-3H11,2597652590.06,67.86758294134654
62,Nitrate_2mM-R8,FW510-R12,1246900363.65,33.90645100406475
63,Nitrate_2mM-R8,GW101-3H11,2430571995.52,66.09354899593525
64,Nitrate_40mM-R1,FW510-R12,1051994824.13,28.993572039911356
65,Nitrate_40mM-R1,GW101-3H11,2576377777.5,71.00642796008864
66,Nitrate_40mM-R2,FW510-R12,1185427384.26,31.546065418515703
67,Nitrate_40mM-R2,GW101-3H11,2572338817.43,68.4539345814843
68,Nitrate_40mM-R3,FW510-R12,1081205933.03,30.065743258094283
69,Nitrate_40mM-R3,GW101-3H11,2514933113.82,69.93425674190571
70,Nitrate_40mM-R4,FW510-R12,1203768595.21,32.37684873157292
71,Nitrate_40mM-R4,GW101-3H11,2514223248.87,67.62315126842708
72,Nitrate_40mM-R5,FW510-R12,1066177470.7,29.889467757102107
73,Nitrate_40mM-R5,GW101-3H11,2500889963.77,70.11053224289789
74,Nitrate_40mM-R6,FW510-R12,1112185197.39,30.674704888537885
75,Nitrate_40mM-R6,GW101-3H11,2513555299.32,69.32529511146213
76,Nitrate_40mM-R7,FW510-R12,980892081.55,28.50660732114646
77,Nitrate_40mM-R7,GW101-3H11,2460036789.78,71.49339267885355
78,Nitrate_40mM-R8,FW510-R12,1078275415.26,29.336673973220943
79,Nitrate_40mM-R8,GW101-3H11,2597244912.11,70.66332602677906
80,Nitrate_4mM-R1,FW510-R12,1456469580.92,40.72765414395557
81,Nitrate_4mM-R1,GW101-3H11,2119649917.08,59.27234585604443
82,Nitrate_4mM-R2,FW510-R12,879392775.22,25.491305618236403
83,Nitrate_4mM-R2,GW101-3H11,2570382565.4,74.5086943817636
84,Nitrate_4mM-R3,FW510-R12,769321845.5,25.584041683546722
85,Nitrate_4mM-R3,GW101-3H11,2237716115.96,74.41595831645327
86,Nitrate_4mM-R4,FW510-R12,1307761293.56,34.63051592986631
87,Nitrate_4mM-R4,GW101-3H11,2468565043.04,65.3694840701337
88,Nitrate_4mM-R5,FW510-R12,1371463921.58,35.5117045035075
89,Nitrate_4mM-R5,GW101-3H11,2490541410.9,64.4882954964925
90,Nitrate_4mM-R6,FW510-R12,1259571025.3799999,33.37178194108926
91,Nitrate_4mM-R6,GW101-3H11,2514788484.71,66.62821805891073
92,Nitrate_4mM-R7,FW510-R12,1358220699.59,34.277097148337965
93,Nitrate_4mM-R7,GW101-3H11,2604252241.78,65.72290285166204
94,Nitrate_4mM-R8,FW510-R12,1317578352.79,34.21585879461429
95,Nitrate_4mM-R8,GW101-3H11,2533204293.64,65.78414120538571
96,Nitrate_8mM-R1,FW510-R12,1109364897.7,34.750000592464126
97,Nitrate_8mM-R1,GW101-3H11,2083052019.67,65.24999940753588
98,Nitrate_8mM-R2,FW510-R12,1290822120.07,34.482495575292155
99,Nitrate_8mM-R2,GW101-3H11,2452590584.07,65.51750442470785
100,Nitrate_8mM-R3,FW510-R12,1159674278.99,32.51583201599159
101,Nitrate_8mM-R3,GW101-3H11,2406816894.97,67.4841679840084
102,Nitrate_8mM-R4,FW510-R12,1298948485.79,34.35636730777649
103,Nitrate_8mM-R4,GW101-3H11,2481860102.48,65.64363269222352
104,Nitrate_8mM-R5,FW510-R12,1142654908.0,32.00298841319838
105,Nitrate_8mM-R5,GW101-3H11,2427808241.4,67.99701158680162
106,Nitrate_8mM-R6,FW510-R12,1253104805.24,33.68148633242585
107,Nitrate_8mM-R6,GW101-3H11,2467350975.34,66.31851366757415
108,Nitrate_8mM-R7,FW510-R12,1292062824.71,34.24530783956216
109,Nitrate_8mM-R7,GW101-3H11,2480900264.9,65.75469216043784
110,Nitrate_8mM-R8,FW510-R12,1155140498.575,31.168776959702626
111,Nitrate_8mM-R8,GW101-3H11,2550941713.34,68.83122304029737
112,Nitrate_T0-R1,FW510-R12,1613098137.076,53.7337196442643
113,Nitrate_T0-R1,GW101-3H11,1388923959.58,46.2662803557357
114,Nitrate_T0-R2,FW510-R12,1544295643.34,50.38551641150092
115,Nitrate_T0-R2,GW101-3H11,1520663800.02,49.614483588499084
116,Nitrate_T0-R3,FW510-R12,1455671530.67,51.776073677709924
117,Nitrate_T0-R3,GW101-3H11,1355803784.61,48.22392632229008
118,Nitrate_T0-R4,FW510-R12,1630719417.6200001,51.589917316364186
119,Nitrate_T0-R4,GW101-3H11,1530207178.986,48.410082683635814
120,Nitrate_T0-R5,FW510-R12,1470081812.33,51.77579317574277
121,Nitrate_T0-R5,GW101-3H11,1369240817.34,48.22420682425722
122,Nitrate_T0-R6,FW510-R12,1725757567.55,54.440245440093086
123,Nitrate_T0-R6,GW101-3H11,1444245715.13,45.55975455990691
124,Nitrate_T0-R7,FW510-R12,1687792563.75,53.25335808091349
125,Nitrate_T0-R7,GW101-3H11,1481571068.09,46.74664191908651
126,Nitrate_T0-R8,FW510-R12,1693050206.98,53.506450678127216
127,Nitrate_T0-R8,GW101-3H11,1471148100.93,46.49354932187279
