target_id,X_3H11_A_T42_repeat_L1,X_3H11_B_T42_repeat_L1,X_3H11_C_T42_repeat_L1,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_3H11_A_T53_repeat_L1,X_3H11_B_T53_repeat_L1,X_3H11_C_T53_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1
GW101-3H11_contig_1_1,773,993,1092,1079,1369,1256,12,24,27,168,65,5,245,154,167,219,193,162,59,49,44
GW101-3H11_contig_1_10,96,133,129,172,189,211,1,11,9,34,8,1,70,29,41,39,33,56,5,10,3
GW101-3H11_contig_1_100,42,65,40,62,88,110,4,8,16,31,17,0,49,29,26,29,33,30,18,20,10
GW101-3H11_contig_1_1000,161,107,116,162,221,193,9,14,5,63,39,0,58,44,42,46,29,18,20,23,10
GW101-3H11_contig_1_1001,72,81,90,61,104,95,5,6,6,29,14,0,34,13,10,14,23,29,7,9,8
GW101-3H11_contig_1_1002,2036,2426,2396,949,1347,2001,1343,1148,756,2892,4679,151,7382,6781,5027,1858,2338,2431,452,399,264
GW101-3H11_contig_1_1003,444,458,511,168,195,325,869,734,665,864,1085,28,913,1011,949,315,358,364,837,589,514
GW101-3H11_contig_1_1004,660,1040,770,840,961,1003,59,60,51,162,42,0,169,96,68,98,65,54,165,67,124
GW101-3H11_contig_1_1005,65,37,47,27,39,53,10,7,14,23,6,0,16,23,14,18,13,18,24,18,19
GW101-3H11_contig_1_1006,823,2626,914,301,433,308,193,359,202,1007,240,10,703,362,356,253,360,613,11665,6507,11066
GW101-3H11_contig_1_1007,613,1644,690,272,290,392,190,276,197,669,145,5,316,149,209,193,163,302,341,229,281
GW101-3H11_contig_1_1008,564,562,681,471,389,557,106,56,20,343,101,1,268,201,171,258,185,188,17,14,9
GW101-3H11_contig_1_1009,738,672,649,496,358,550,142,71,32,452,133,3,282,265,172,291,233,232,20,25,18
GW101-3H11_contig_1_101,310,343,319,306,304,405,53,56,54,178,66,4,201,116,148,128,110,86,103,54,54
GW101-3H11_contig_1_1010,1409,1368,1472,815,683,1040,248,145,95,1338,330,8,875,607,547,754,493,572,950,832,506
GW101-3H11_contig_1_1011,15,15,13,23,19,27,1,2,18,10,5,1,18,16,37,3,8,4,8,4,3
GW101-3H11_contig_1_1012,43,58,58,37,27,70,12,8,18,15,9,0,16,17,13,16,12,6,278,136,159
GW101-3H11_contig_1_1013,491,445,428,384,460,529,17,21,35,221,103,2,295,223,177,171,138,162,1480,1014,708
GW101-3H11_contig_1_1014,15,12,12,14,17,22,1,4,1,11,3,0,18,14,16,16,2,14,6,4,4
GW101-3H11_contig_1_1015,239,211,160,250,366,516,19,16,29,211,32,6,215,141,144,128,110,93,28,23,14
GW101-3H11_contig_1_1016,194,156,121,246,330,421,7,8,2,168,43,0,164,99,120,112,121,82,12,13,11
GW101-3H11_contig_1_1017,220,216,175,416,541,682,3,4,15,170,44,4,251,136,152,124,170,159,38,19,9
GW101-3H11_contig_1_1018,207,179,153,365,369,474,4,10,5,151,30,0,148,87,109,105,91,73,8,11,6
GW101-3H11_contig_1_1019,182,189,163,286,300,469,5,4,10,118,29,2,154,77,103,90,131,87,9,8,11
GW101-3H11_contig_1_102,545,848,1167,541,701,758,89,149,133,325,142,6,468,207,213,581,558,497,63,81,34
GW101-3H11_contig_1_1020,209,216,221,400,439,577,14,11,24,153,44,0,317,181,135,211,171,215,37,10,13
GW101-3H11_contig_1_1021,365,403,323,453,441,630,36,30,49,100,30,0,95,52,63,99,57,58,592,194,279
GW101-3H11_contig_1_1022,230,214,209,331,286,376,53,34,45,138,51,2,110,72,52,57,33,24,44,21,11
GW101-3H11_contig_1_1023,213,199,165,201,200,323,24,34,51,112,44,2,133,89,104,85,70,46,20,18,15
GW101-3H11_contig_1_1024,119,118,117,95,115,157,23,15,18,86,34,1,66,44,68,77,74,50,16,13,4
GW101-3H11_contig_1_1025,78,78,59,69,84,127,10,12,8,42,26,0,67,36,24,43,24,35,6,12,1
GW101-3H11_contig_1_1026,66,55,54,78,71,94,9,5,7,17,4,0,16,11,16,9,8,14,26,17,22
GW101-3H11_contig_1_1027,85,109,117,253,396,462,6,16,3,20,11,1,26,33,30,75,63,63,26,17,20
GW101-3H11_contig_1_1028,6,18,12,11,12,4,2,2,0,8,1,1,1,2,5,3,4,5,1,2,0
GW101-3H11_contig_1_1029,2226,2979,2521,1404,2207,2125,147,205,208,984,438,19,2728,1640,1577,1634,1504,1579,16390,13715,10029
GW101-3H11_contig_1_103,156,221,272,117,152,191,22,19,53,71,39,1,44,34,26,108,68,39,19,11,13
GW101-3H11_contig_1_1030,156,190,160,159,194,230,12,18,39,53,17,0,60,51,35,63,43,41,30,13,21
GW101-3H11_contig_1_1031,134,177,170,179,204,208,4,14,25,36,13,2,55,42,37,87,41,45,16,11,6
GW101-3H11_contig_1_1032,594,583,466,350,436,584,64,36,86,268,112,7,453,307,285,207,229,191,46,35,10
GW101-3H11_contig_1_1033,1146,1210,1207,914,991,1096,58,94,73,587,224,9,677,397,414,465,413,399,165,145,112
GW101-3H11_contig_1_1034,770,1703,1848,3160,3889,3129,6,31,35,608,218,12,1139,614,697,1631,1357,1530,81,50,53
GW101-3H11_contig_1_1035,638,847,728,819,893,971,387,427,424,374,128,3,324,257,186,319,254,266,794,535,506
GW101-3H11_contig_1_1036,806,828,680,732,825,1092,231,120,181,457,292,8,533,532,378,316,223,223,95,74,64
GW101-3H11_contig_1_1037,609,700,600,675,762,958,59,87,85,327,120,4,586,378,393,380,353,395,364,288,214
GW101-3H11_contig_1_1038,63,59,37,55,80,66,4,8,14,18,9,0,33,33,34,11,22,17,13,4,5
GW101-3H11_contig_1_1039,353,380,372,408,428,504,33,53,87,114,46,0,125,80,93,81,67,63,32,31,15
GW101-3H11_contig_1_104,685,846,655,667,758,1002,15,12,14,275,110,1,361,230,229,313,247,233,12,30,12
GW101-3H11_contig_1_1040,482,612,471,924,1061,1134,18,20,47,164,59,3,245,144,125,159,189,171,61,66,39
GW101-3H11_contig_1_1041,1266,1405,1554,1131,1385,1425,63,80,52,482,206,5,639,487,500,450,446,334,209,173,130
GW101-3H11_contig_1_1042,715,854,889,534,614,596,29,47,31,149,106,2,359,247,209,249,232,363,449,488,263
GW101-3H11_contig_1_1043,3921,4722,4780,2936,4028,4207,235,297,369,1325,531,16,2604,1553,1457,2371,1930,1885,904,760,474
GW101-3H11_contig_1_1044,10500,10495,9466,7947,8244,12932,674,689,726,4012,1042,70,5413,2813,2938,4821,4346,4028,5279,4873,3229
GW101-3H11_contig_1_1045,3503,3353,3400,2889,3084,4869,100,69,65,1247,434,31,1741,1089,985,1325,1453,1255,163,194,148
GW101-3H11_contig_1_1046,6789,5932,6196,5101,5661,8652,191,104,88,2188,834,35,3295,1988,2028,2319,2056,1904,307,254,220
GW101-3H11_contig_1_1047,25024,22048,20038,18287,20788,29613,571,441,315,7421,2396,148,10989,5726,5993,6405,6358,5981,1145,848,729
GW101-3H11_contig_1_1048,25384,21489,19265,20781,24679,36124,305,240,232,7298,2474,128,10919,5234,5741,6667,6540,6158,677,622,478
GW101-3H11_contig_1_1049,1423,1600,1429,1383,1535,2035,23,45,63,471,222,7,992,576,561,561,491,523,94,109,70
GW101-3H11_contig_1_105,646,664,589,625,695,922,25,30,24,255,95,1,178,125,123,150,130,120,26,10,18
GW101-3H11_contig_1_1050,355,449,441,518,505,585,15,49,56,129,30,6,215,147,147,142,97,123,82,68,35
GW101-3H11_contig_1_1051,447,637,564,501,473,555,15,9,25,139,58,3,236,157,144,208,162,180,20,17,10
GW101-3H11_contig_1_1052,491,622,538,445,516,598,40,36,43,143,63,4,223,102,98,192,156,113,35,21,17
GW101-3H11_contig_1_1053,284,346,300,243,252,270,23,41,30,75,36,1,120,63,65,63,69,37,23,21,12
GW101-3H11_contig_1_1054,11850,9468,8041,7915,4965,6426,2636,1857,2657,2041,737,41,3401,1556,2004,5287,3540,2389,1545,1026,882
GW101-3H11_contig_1_1055,3978,2810,2132,2722,1411,1837,414,183,207,439,209,5,613,313,391,769,533,271,177,137,106
GW101-3H11_contig_1_1056,353,431,442,437,445,464,17,21,22,109,74,4,203,131,137,173,151,142,39,36,34
GW101-3H11_contig_1_1057,92,116,101,80,109,147,6,11,0,29,7,3,33,36,33,62,41,28,6,15,6
GW101-3H11_contig_1_1058,145,159,176,152,179,229,8,15,17,42,17,1,112,79,70,85,63,92,297,199,129
GW101-3H11_contig_1_1059,310,341,412,362,456,443,35,26,21,114,59,1,214,123,124,156,122,118,98,64,51
GW101-3H11_contig_1_106,299,296,313,345,344,424,38,25,41,103,31,1,98,51,56,80,53,47,22,16,21
GW101-3H11_contig_1_1060,292,321,304,339,418,520,15,11,30,157,56,1,262,177,151,387,316,348,86,80,57
GW101-3H11_contig_1_1061,45,47,61,46,62,57,2,9,9,25,8,1,32,20,25,62,37,36,13,11,10
GW101-3H11_contig_1_1062,742,1122,1297,1006,1214,1167,13,11,19,130,55,2,358,204,211,420,471,595,98,53,59
GW101-3H11_contig_1_1063,407,565,719,577,648,647,25,16,28,57,32,0,151,43,64,166,150,220,27,16,18
GW101-3H11_contig_1_1064,341,525,613,594,692,684,3,4,5,51,15,1,125,37,49,167,151,118,14,26,13
GW101-3H11_contig_1_1065,1072,1391,1591,1503,1777,1918,22,11,36,171,59,0,254,120,172,371,243,237,51,47,30
GW101-3H11_contig_1_1066,60,89,81,96,70,100,2,0,0,6,4,0,13,10,6,18,11,10,2,4,1
GW101-3H11_contig_1_1067,732,907,1140,1078,1204,1240,12,18,15,140,38,0,143,91,90,252,128,115,163,93,71
GW101-3H11_contig_1_1068,663,845,997,1066,1066,1046,18,18,65,109,35,3,144,84,86,151,91,96,33,44,33
GW101-3H11_contig_1_1069,862,1123,1175,1159,1274,1156,27,46,103,148,38,5,155,94,114,126,99,89,30,19,21
GW101-3H11_contig_1_107,140,155,205,143,214,278,8,12,9,55,7,0,62,34,23,34,49,31,9,7,3
GW101-3H11_contig_1_1070,361,271,67,4745,7217,10770,79,324,513,2895,1494,66,1964,674,1015,1421,728,363,372,195,174
GW101-3H11_contig_1_1071,1217,1163,364,7489,8419,12631,604,2013,3334,2487,1517,66,1638,545,750,1711,932,521,268,179,119
GW101-3H11_contig_1_1072,136,128,77,1953,2620,3311,88,174,248,863,343,13,766,90,254,689,378,386,107,42,57
GW101-3H11_contig_1_1073,170,223,91,3633,4579,4731,106,138,230,1344,551,24,1009,104,401,1038,604,505,156,55,63
GW101-3H11_contig_1_1074,729,879,489,21249,25947,27261,447,625,829,3870,1203,43,2660,332,1209,3520,2161,1200,242,113,138
GW101-3H11_contig_1_1075,1112,1287,913,11111,12319,13870,179,277,521,1889,972,55,1445,389,791,1458,893,632,155,86,97
GW101-3H11_contig_1_1076,1371,1596,1039,10528,13330,13116,120,156,296,1623,586,27,1096,470,639,1235,631,504,3696,2324,2488
GW101-3H11_contig_1_1077,1930,1898,1702,10319,12402,13777,233,270,706,1717,774,38,1103,568,687,1161,865,469,1525,811,859
GW101-3H11_contig_1_1078,543,543,536,5251,5744,6129,106,140,431,400,270,7,229,129,123,371,214,118,48,20,25
GW101-3H11_contig_1_1079,121,136,103,1207,1402,1499,27,36,90,58,29,1,42,20,30,71,33,27,59,12,21
GW101-3H11_contig_1_108,182,173,170,147,227,235,3,2,0,31,3,0,49,18,20,56,34,22,2,7,1
GW101-3H11_contig_1_1080,479,549,506,497,482,523,12,9,3,191,68,3,402,156,222,274,224,231,30,18,14
GW101-3H11_contig_1_1081,387,460,531,274,284,370,399,461,505,543,156,5,323,236,226,207,156,185,131,131,80
GW101-3H11_contig_1_1082,212,219,241,155,146,241,111,96,141,200,77,3,166,117,114,106,92,94,67,95,31
GW101-3H11_contig_1_1083,562,618,653,420,527,650,59,82,167,279,63,3,377,214,191,188,177,200,83,93,32
GW101-3H11_contig_1_1084,1251,1164,1162,788,878,1107,66,61,57,512,180,9,845,439,519,503,331,359,348,259,194
GW101-3H11_contig_1_1085,3337,3480,3378,2038,2414,2926,1084,691,511,2218,611,24,3009,1606,1723,1783,1451,1398,1400,1117,692
GW101-3H11_contig_1_1086,2317,2320,2290,1549,1831,1990,147,89,117,1202,325,11,1675,1076,1064,1132,933,968,468,337,244
GW101-3H11_contig_1_1087,472,657,607,629,685,612,13,27,59,150,90,3,292,172,220,244,235,196,18,25,11
GW101-3H11_contig_1_1088,586,660,768,429,492,594,179,252,278,334,142,7,496,241,261,388,328,383,58,133,36
GW101-3H11_contig_1_1089,545,500,474,415,452,508,68,66,90,296,84,3,298,196,189,196,172,208,210,162,102
GW101-3H11_contig_1_109,216,279,258,415,498,520,11,17,34,64,12,1,83,40,32,55,82,29,7,9,7
GW101-3H11_contig_1_1090,181,175,195,183,187,287,40,86,121,93,31,4,107,46,52,73,41,29,23,15,6
GW101-3H11_contig_1_1091,1159,1301,1087,927,1160,1530,161,106,82,594,182,4,890,680,645,550,528,497,1758,1050,740
GW101-3H11_contig_1_1092,1942,2908,3085,3580,4486,3766,31,37,28,1380,508,25,1903,1148,1052,2045,2431,2944,948,645,463
GW101-3H11_contig_1_1093,2148,3371,3276,5156,5675,6005,103,118,171,1380,673,36,2054,1062,1060,2312,2406,2404,108,144,68
GW101-3H11_contig_1_1094,2282,3122,3015,3505,4346,4935,67,91,130,1015,327,9,1246,665,744,1560,1248,1058,147,118,71
GW101-3H11_contig_1_1095,1290,1789,1931,2644,3011,3216,21,37,22,319,134,6,564,299,314,816,794,653,33,47,30
GW101-3H11_contig_1_1096,610,761,877,1243,1219,1430,11,15,18,126,52,2,127,97,98,308,283,203,26,24,4
GW101-3H11_contig_1_1097,239,307,207,186,247,259,10,22,15,136,41,0,146,103,78,99,82,76,811,413,535
GW101-3H11_contig_1_1098,345,495,483,611,772,880,15,19,10,111,39,6,243,110,107,173,164,210,280,207,124
GW101-3H11_contig_1_1099,4900,6182,6423,6556,7474,8612,236,344,481,1810,727,39,3455,1557,1594,3193,2975,2742,1026,787,615
GW101-3H11_contig_1_11,13,13,15,15,18,32,0,2,3,9,6,0,6,8,15,2,16,2,2,3,1
GW101-3H11_contig_1_110,46,52,58,87,103,84,2,0,2,7,2,0,10,7,13,8,10,9,5,3,2
GW101-3H11_contig_1_1100,624,712,679,959,1007,1236,35,42,53,338,100,3,721,444,439,608,556,494,22,38,12
GW101-3H11_contig_1_1101,311,326,286,444,437,652,10,10,26,133,41,1,211,110,129,189,163,131,58,60,39
GW101-3H11_contig_1_1102,136,128,129,153,165,237,14,33,32,56,11,0,77,75,66,50,54,35,51,44,25
GW101-3H11_contig_1_1103,429,429,385,406,481,507,8,10,5,115,29,2,143,100,104,67,90,89,11,21,10
GW101-3H11_contig_1_1104,1173,1195,971,1340,1467,1752,89,103,164,559,261,18,860,499,510,500,414,335,336,255,193
GW101-3H11_contig_1_1105,203,211,240,311,377,435,3,12,16,32,5,0,58,33,22,30,44,29,32,34,18
GW101-3H11_contig_1_1106,865,822,705,895,1212,1415,35,31,53,182,68,0,244,154,159,241,209,176,193,80,91
GW101-3H11_contig_1_1107,6506,5757,4891,4843,5920,7871,208,118,77,1947,715,31,2398,1382,1432,1799,1563,1470,280,209,179
GW101-3H11_contig_1_1108,7349,7723,6472,7494,9189,10548,74,113,117,2120,863,47,3285,2134,2118,2709,2569,2812,6254,3751,3901
GW101-3H11_contig_1_1109,1623,2402,2590,2021,2330,2277,38,43,34,435,131,3,1046,668,628,807,835,874,245,182,148
GW101-3H11_contig_1_111,3129,2971,2707,1939,2053,3030,1067,1366,1481,1941,752,18,2595,1574,1607,848,800,761,168,173,95
