target_id,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_R12_A_T77_repeat_L1,X_R12_B_T77_repeat_L1,X_R12_C_T77_repeat_L1,X_R12_A_T95_repeat_L1,X_R12_B_T95_repeat_L1,X_R12_C_T95_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_R12_A_T119_repeat_L1,X_R12_B_T119_repeat_L1,X_R12_C_T119_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1,X_R12_A_T216_repeat_L1,X_R12_B_T216_repeat_L1,X_R12_C_T216_repeat_L1
FW510-R12_contig_1_1,1225,900,1113,1504,370,21,3161,1548,2254,6504,7404,3816,8296,5112,6338,2795,2702,2960,5069,5684,8478,29,61,29,1885,2098,1800
FW510-R12_contig_1_10,561,321,473,723,143,13,1452,822,1193,888,1587,874,2969,1978,2635,1364,1292,1407,2518,2803,4149,13,28,4,828,1036,884
FW510-R12_contig_1_100,7,9,15,21,2,0,16,15,5,9,23,6,46,29,24,13,7,10,27,32,37,2,0,1,68,49,53
FW510-R12_contig_1_1000,2510,1884,2432,2615,651,16,4668,2548,3111,7586,9480,4665,11915,7973,9448,3877,3139,3235,8885,9872,13568,68,169,31,4716,5603,4912
FW510-R12_contig_1_1001,254,188,202,30,12,0,42,27,31,404,578,360,183,137,125,46,42,41,136,153,127,2,2,1,79,93,70
FW510-R12_contig_1_1002,460,284,385,34,6,0,68,35,47,914,1096,610,173,119,146,68,64,48,122,135,156,1,1,0,55,81,88
FW510-R12_contig_1_1003,10723,8054,9605,198,25,2,231,128,192,27218,27731,15886,1278,779,881,255,214,183,840,759,957,5,18,3,449,515,463
FW510-R12_contig_1_1004,2781,2000,2837,24,11,1,36,16,20,7279,7653,3983,386,246,204,23,23,34,104,114,191,9,16,7,98,185,123
FW510-R12_contig_1_1005,407,289,420,353,84,9,522,328,431,974,1209,543,1477,993,1222,561,499,416,1063,1274,1861,13,21,15,774,760,691
FW510-R12_contig_1_1006,501,348,499,627,146,9,1241,609,692,1571,1874,971,2924,1926,2411,1127,949,933,2356,2411,3237,20,74,16,1011,1226,917
FW510-R12_contig_1_1007,4490,3145,4653,5660,1341,75,12309,5508,7544,31518,39087,19165,37642,24020,29769,11508,12289,12813,24264,22286,32527,129,350,86,4599,4904,4414
FW510-R12_contig_1_1008,2011,1489,2067,2094,505,10,4364,1941,2210,17565,20749,9884,15172,11006,11643,3950,3853,3832,8586,8535,10207,26,244,23,1235,1166,1100
FW510-R12_contig_1_1009,404,284,401,475,149,4,1027,502,668,2225,2539,1216,2660,1819,2130,915,877,858,1859,2004,2809,5,24,7,1329,1315,1279
FW510-R12_contig_1_101,9,3,6,9,0,0,14,13,10,13,23,14,39,39,36,4,0,9,34,31,47,0,1,1,43,44,53
FW510-R12_contig_1_1010,2139,1477,1953,3137,730,35,5350,2786,4413,12748,15283,8076,17776,11285,12087,4353,4912,5135,12372,12006,17409,58,147,36,4631,5684,4575
FW510-R12_contig_1_1011,282,137,208,293,60,6,475,225,357,1079,1221,582,1225,855,875,381,367,356,824,906,1429,15,13,3,450,467,402
FW510-R12_contig_1_1012,264,194,260,235,61,4,407,201,257,854,1144,501,1199,760,890,390,316,267,623,845,1138,10,11,3,241,254,242
FW510-R12_contig_1_1013,570,334,375,839,141,6,1921,1011,1298,5068,5344,2853,9140,6619,6862,1743,1497,1297,6261,7145,10701,112,304,63,6964,6835,6730
FW510-R12_contig_1_1014,104,59,52,106,32,0,167,115,128,141,212,124,344,214,303,181,130,129,283,371,460,12,12,3,244,244,238
FW510-R12_contig_1_1015,616,456,529,647,171,12,1405,732,821,1670,1686,908,2984,2094,2490,1100,1002,834,2784,2766,3848,17,38,13,2295,2465,2107
FW510-R12_contig_1_1016,155,117,146,155,39,2,351,193,242,648,508,320,729,577,567,310,231,227,519,540,825,7,1,2,319,422,371
FW510-R12_contig_1_1017,62,43,94,114,34,0,170,120,185,52,93,77,136,71,228,151,112,139,364,383,606,1,11,3,83,85,81
FW510-R12_contig_1_1018,13988,6566,18799,17296,2836,139,39808,21340,27163,18020,16848,8547,39478,20231,42775,27163,23076,18996,98982,89652,119307,740,1688,398,65175,74355,62698
FW510-R12_contig_1_1019,349,224,415,772,194,9,1141,759,1152,1472,2135,938,2709,1579,2172,914,894,1291,2490,3011,3449,36,63,17,1276,1236,1091
