sample,org,time,rep
X_3H11_A_T42_repeat_L1,3H11,T42,A
X_3H11_B_T42_repeat_L1,3H11,T42,B
X_3H11_C_T42_repeat_L1,3H11,T42,C
X_SynCom_A_T42_repeat_L1,SynCom,T42,A
X_SynCom_B_T42_repeat_L1,SynCom,T42,B
X_SynCom_C_T42_repeat_L1,SynCom,T42,C
X_3H11_A_T53_repeat_L1,3H11,T53,A
X_3H11_B_T53_repeat_L1,3H11,T53,B
X_3H11_C_T53_repeat_L1,3H11,T53,C
X_SynCom_A_T53_repeat_L1,SynCom,T53,A
X_SynCom_B_T53_repeat_L1,SynCom,T53,B
X_SynCom_C_T53_repeat_L1,SynCom,T53,C
X_SynCom_A_T71_repeat_L1,SynCom,T71,A
X_SynCom_B_T71_repeat_L1,SynCom,T71,B
X_SynCom_C_T71_repeat_L1,SynCom,T71,C
X_SynCom_A_T95_repeat_L1,SynCom,T95,A
X_SynCom_B_T95_repeat_L1,SynCom,T95,B
X_SynCom_C_T95_repeat_L1,SynCom,T95,C
X_SynCom_A_T142_repeat_L1,SynCom,T142,A
X_SynCom_B_T142_repeat_L1,SynCom,T142,B
X_SynCom_C_T142_repeat_L1,SynCom,T142,C
