"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GW101-3H11_contig_1_1",1083.23087178803,0.176071318689293,0.163425548385058,0.235090115815395,0.406822326410158
"GW101-3H11_contig_1_10",152.219423172238,0.442624306107668,0.186175974585891,0.00747238171162657,0.028696262790231
"GW101-3H11_contig_1_100",65.5750577459774,0.510002745753045,0.26270026923102,0.0164921532935078,0.0536455202994336
"GW101-3H11_contig_1_1000",158.145063321556,0.323358147941876,0.220122612921404,0.0798667543253686,0.183345644544892
"GW101-3H11_contig_1_1001",83.0263352126082,-0.061765279473716,0.205798686656185,0.722530199793575,0.843601187296737
"GW101-3H11_contig_1_1002",1858.71314590417,-0.829503733015988,0.184314555085189,1.20803835185689e-06,1.41480425416053e-05
"GW101-3H11_contig_1_1003",353.787651083315,-1.19280341692597,0.192527524228996,6.11828506985915e-11,1.53080728465062e-09
"GW101-3H11_contig_1_1004",870.86176257885,0.0181267858911247,0.157943547850622,0.900147841043242,0.944173704113534
"GW101-3H11_contig_1_1005",44.5798839288599,-0.351888859731776,0.297288818349752,0.106159095190652,0.228856465437114
"GW101-3H11_contig_1_1006",917.17166040043,-1.902595573903,0.586959060830437,5.68700076225461e-05,0.000442978015349204
"GW101-3H11_contig_1_1007",657.887770183945,-1.68394757388817,0.31800007904868,7.97736833481399e-09,1.41648325199529e-07
"GW101-3H11_contig_1_1008",540.284238892626,-0.466011854947537,0.178566268601785,0.0036266194708813,0.0156637078105893
"GW101-3H11_contig_1_1009",583.137987937457,-0.65314564841638,0.195123352277535,0.000193242336133256,0.0012815562693496
"GW101-3H11_contig_1_101",328.76928482995,-0.101656193752379,0.134267041221411,0.418603591314701,0.596251348870912
"GW101-3H11_contig_1_1010",1144.05118397977,-0.879711474049554,0.162269337449067,9.2730311698392e-09,1.62726993018687e-07
"GW101-3H11_contig_1_1011",18.3605809456712,0.268613108959953,0.329195236720039,0.215677792848347,0.384648571341332
"GW101-3H11_contig_1_1012",48.2773980535675,-0.285439550466808,0.286841417080933,0.175528827476805,0.332531476604242
"GW101-3H11_contig_1_1013",453.662744860744,-0.153220682423145,0.132985138083172,0.218831661138604,0.388285117937194
"GW101-3H11_contig_1_1014",15.0583382328981,0.114059727851162,0.303189424915646,0.565469530237325,0.726864570004076
"GW101-3H11_contig_1_1015",279.696895025545,0.59729047534119,0.222363883372821,0.00193564874256561,0.00920269085476968
"GW101-3H11_contig_1_1016",236.209128472046,0.810677878583656,0.216373951876472,3.05102402332646e-05,0.000257491874132185
"GW101-3H11_contig_1_1017",359.848880530387,1.19689118248767,0.164774991349364,4.08981264022749e-14,1.54663601677e-12
"GW101-3H11_contig_1_1018",283.052040548722,0.938952226055429,0.175556767040581,1.27745224706624e-08,2.18224083860902e-07
"GW101-3H11_contig_1_1019",256.047451742522,0.7373121513655,0.176476286673239,6.12809877595595e-06,6.18301452873437e-05
"GW101-3H11_contig_1_102",761.098696031106,-0.425204963100858,0.242758948376772,0.0322147360358568,0.0916899805084949
"GW101-3H11_contig_1_1020",333.044981392429,0.915691991273833,0.144411573547301,3.55138257080879e-11,9.21128233287265e-10
"GW101-3H11_contig_1_1021",427.959022360384,0.269922858937687,0.145859261592319,0.0454146354283233,0.118913374160631
"GW101-3H11_contig_1_1022",270.731193751278,0.383823748791604,0.169708377227967,0.0122101966919134,0.0427486320931019
"GW101-3H11_contig_1_1023",212.903449497977,0.110592248398507,0.174945779506357,0.483087174174364,0.653704960628188
"GW101-3H11_contig_1_1024",118.790645964722,-0.111570290552533,0.174169572304196,0.472883611938823,0.645122411037081
"GW101-3H11_contig_1_1025",80.5979359943463,0.137996093912495,0.208945040255338,0.43753025289295,0.612468175425734
"GW101-3H11_contig_1_1026",68.8453820695305,0.224092516826204,0.217513158260271,0.218092107843759,0.387123431048481
"GW101-3H11_contig_1_1027",225.088584698448,1.59469859231822,0.208606671040277,1.71964068876026e-15,7.38757075440439e-14
"GW101-3H11_contig_1_1028",10.6899838491666,-0.150163540460728,0.359670419043714,0.4072513632655,0.586318876378171
"GW101-3H11_contig_1_1029",2243.52832530948,-0.55970653700073,0.164124501597752,0.000206289829791771,0.00136261308905125
"GW101-3H11_contig_1_103",185.006429837798,-0.589157589595262,0.231812756314346,0.00293374210854744,0.0131408303849403
"GW101-3H11_contig_1_1030",179.165046525095,0.021412867372257,0.151218774947605,0.878952548622756,0.933804616315062
"GW101-3H11_contig_1_1031",177.083433963786,0.107781190906597,0.166072038368921,0.473540598765981,0.645192553984233
"GW101-3H11_contig_1_1032",499.60778525276,-0.409139513145664,0.158331340446303,0.00477664384437004,0.0199355464237651
"GW101-3H11_contig_1_1033",1096.55503078673,-0.394050929919181,0.117642269043372,0.000426973102597126,0.00255770828327227
"GW101-3H11_contig_1_1034",2364.92427182321,0.956139085872331,0.300771168658537,0.000176600747635857,0.00118546061745433
"GW101-3H11_contig_1_1035",808.177739299899,0.100071698632005,0.132511426948219,0.422307418853088,0.599287010311716
"GW101-3H11_contig_1_1036",816.379914383216,0.00999550825760734,0.126847557006823,0.938394468774575,0.965740984506096
"GW101-3H11_contig_1_1037",706.660289222734,0.135434742201622,0.115037609604167,0.217647524324834,0.386599439048127
"GW101-3H11_contig_1_1038",59.4157249194267,0.111243846071404,0.23702315613825,0.557455462566443,0.720865142666185
"GW101-3H11_contig_1_1039",403.679187756354,0.0944085789619455,0.126719114526248,0.430926230613949,0.607023491156188
"GW101-3H11_contig_1_104",758.534178158283,-0.0277037746036471,0.129214646539703,0.819925798206113,0.906879304378898
"GW101-3H11_contig_1_1040",761.842312275961,0.795082520204487,0.139961563607594,2.55011701889192e-09,4.97373216991756e-08
