"","X_3H11_A_T42_repeat_L1","X_3H11_B_T42_repeat_L1","X_3H11_C_T42_repeat_L1","X_SynCom_A_T42_repeat_L1","X_SynCom_B_T42_repeat_L1","X_SynCom_C_T42_repeat_L1","X_3H11_A_T53_repeat_L1","X_3H11_B_T53_repeat_L1","X_3H11_C_T53_repeat_L1","X_SynCom_A_T53_repeat_L1","X_SynCom_B_T53_repeat_L1","X_SynCom_C_T53_repeat_L1","X_SynCom_A_T71_repeat_L1","X_SynCom_B_T71_repeat_L1","X_SynCom_C_T71_repeat_L1","X_SynCom_A_T95_repeat_L1","X_SynCom_B_T95_repeat_L1","X_SynCom_C_T95_repeat_L1"
"GW101-3H11_contig_1_1",7.98661649183097,8.21934813319692,8.46741875340719,8.47321827836584,8.61167954967372,8.22168224253028,5.72933114608925,6.50508342004773,6.44064280952603,7.07868770563235,7.21306775541103,7.67336288900721,7.18274639374069,7.19992614528999,7.32843535575254,7.5835460918377,7.61236512558987,7.41508252267393
"GW101-3H11_contig_1_10",5.16563919216817,5.46913816721678,5.53233055032092,5.92926084636179,5.86786012517451,5.76498688242504,3.07270157882759,5.47065145601037,5.01145245582824,4.96904790210478,4.49507150147497,5.48752594400415,5.49531371564748,4.98756881191219,5.43488731624822,5.2587083422805,5.23338641625109,5.96172305652923
"GW101-3H11_contig_1_100",4.19819838720952,4.59186105559019,4.13887898087312,4.64839311525744,4.89777869308537,4.93997429204221,4.38449899540413,5.06973981678167,5.74209384951112,4.85707547823626,5.41002072594456,1.38696872066301,5.04631530641282,4.98756881191219,4.86846466743183,4.89298207656546,5.23338641625109,5.15718994190449
"GW101-3H11_contig_1_1000",5.82918117027134,5.19366572115488,5.3962319073889,5.85014856441592,6.07544785993245,5.64861682087615,5.35848450993323,5.78353075488767,4.32339383316944,5.75092287800722,6.5088648797327,1.38696872066301,5.25620309840833,5.51117806548831,5.46572837240254,5.46839139275726,5.07251623145487,4.54375313875786
"GW101-3H11_contig_1_1001",4.81389922581151,4.85200549447539,5.07769528516715,4.62939136887279,5.10233717981186,4.76362419238549,4.64013078643262,4.72191187731415,4.529324608965,4.77719904029973,5.16511498308425,1.38696872066301,4.60838902427117,4.07013453468147,3.81326914057319,4.06627136852751,4.79097647125347,5.11505176550571
"GW101-3H11_contig_1_1002",9.36537132515102,9.49312147817094,9.58948674423002,8.29088661325104,8.58861987921155,8.88419184590748,12.391151247765,12.0025675349623,11.1630802514476,11.1312165764019,13.3321029941627,12.5538891563429,12.0452772904983,12.6098423048375,12.1944862662672,10.6334362647384,11.1754086941042,11.2810442973966
"GW101-3H11_contig_1_1003",7.20828671106597,7.13178631754621,7.39560914335851,5.89813656870841,5.90913517657207,6.34061561636938,11.7638856039491,11.3583329204438,10.9784980597853,9.39610766278112,11.2260180161163,10.1283340455384,9.04251252402155,9.87098967169207,9.79615828515937,8.0960658544905,8.48602405140307,8.55855484373549
"GW101-3H11_contig_1_1004",7.76364290078725,8.28493108450084,7.97218603223387,8.11796355311662,8.10926705368725,7.90346777966657,7.91263400117621,7.77731508985604,7.31766533091229,7.02824651570698,6.61000957333911,1.38696872066301,6.66966663792163,6.5481028930309,6.09724002543382,6.47024825203632,6.11447533427004,5.91355007915626
"GW101-3H11_contig_1_1005",4.69244002937761,3.97325860156503,4.31446522442148,3.75336032717378,3.98119644087399,4.10518934153176,5.49304542825097,4.90644449984266,5.56846842658226,4.50630958195527,4.1754675496662,1.38696872066301,3.79572342503275,4.70891632108587,4.16084561203646,4.33848469140766,4.14357739416358,4.54375313875786
"GW101-3H11_contig_1_1006",8.07524978229953,9.60661387445441,8.21482468954328,6.68436705746003,6.99155835074551,6.26807234466422,9.60069506663086,10.3295314029013,9.26802237007467,9.6154825250703,9.06044572895713,8.65493921450656,8.6696667540371,8.40356911270307,8.39562206930338,7.78652267621395,8.49394528623763,9.30239570970792
"GW101-3H11_contig_1_1007",7.659691118691,8.9367024648447,7.81736606792278,6.54580936961893,6.44148428148941,6.5954900154417,9.5782465700281,9.95197421780201,9.23217199741483,9.03032900878075,8.34263544445463,7.67336288900721,7.53835740075873,7.15399887406321,7.64276149010766,7.40643061726099,7.37561501997221,8.29323695920038
"GW101-3H11_contig_1_1008",7.54269477157894,7.41718445819842,7.79886147567774,7.3041571839977,6.84351182045463,7.07954321283494,8.74407612436703,7.68020435484025,6.03676654473499,8.08008421602448,7.83093190115088,5.48752594400415,7.30780904993672,7.57232756131433,7.36150229284816,7.81410152516483,7.55293376108791,7.62378017920272
"GW101-3H11_contig_1_1009",7.92116447859056,7.66793135624409,7.73107520653012,7.37639989168034,6.72924862026977,7.06199386044984,9.16145783582998,8.014890942832,6.67248837758068,8.47151518529676,8.22008713801522,6.96043038744908,7.37894235425039,7.96163244712915,7.36965188799127,7.98398351426519,7.87753914552566,7.91998462765246
"GW101-3H11_contig_1_101",6.71143194967699,6.73219848596352,6.74204719434347,6.70696536957948,6.50561329697092,6.6401163904568,7.76141235563544,7.68020435484025,7.39753849961511,7.15902215054805,7.23433651292603,7.36051695535678,6.90826548863483,6.80750167060738,7.16009740287735,6.83596781253962,6.82956596236652,6.53923997816644
"GW101-3H11_contig_1_1010",8.83936321394892,8.67464589444472,8.89274475881251,8.07519937431731,7.62757247771903,7.95461990916166,9.96028373017665,9.03019949865782,8.1932973653043,10.0231221066889,9.51603382789894,8.33765002859311,8.98179890212704,9.14030892529597,9.00749046879123,9.33924150749064,8.94191364526929,9.20337653772782
"GW101-3H11_contig_1_1011",3.21991128394429,3.15122468290223,3.10192324035334,3.60062100522269,3.30686318782761,3.44742825175205,3.07270157882759,3.559483165698,5.89696971648238,3.63431205665913,3.98298305935418,5.48752594400415,3.91359896098835,4.29416134646162,5.30441633665944,2.7608243183387,3.65338008533074,3.08968458693503
"GW101-3H11_contig_1_1012",4.22374407828005,4.46099471473783,4.55225560324264,4.07312187436047,3.61894554109568,4.40978452814822,5.72933114608925,5.06973981678167,5.89696971648238,4.03744974982004,4.63112874914082,1.38696872066301,3.79572342503275,4.36146612800117,4.08186878820872,4.20905165850667,4.05864668705705,3.42244514238609
"GW101-3H11_contig_1_1013",7.34863845570119,7.09178595934965,7.14841705165363,7.02012042631448,7.07540864479582,7.00802634518423,6.19113654588272,6.32390747990254,6.79556927532307,7.46104969095517,7.85858451100705,6.40469985381532,7.44199321121263,7.71830959330835,7.40972297549515,7.23744553070623,7.14348206765832,7.41508252267393
"GW101-3H11_contig_1_1014",3.21991128394429,2.98257219142014,3.04125114720916,3.1723793285513,3.21520021510604,3.27204854059252,3.07270157882759,4.25945564707741,2.87240001981235,3.72519460864252,3.48930429095141,1.38696872066301,3.91359896098835,4.14891153423996,4.30644310449896,4.20905165850667,2.60394526347793,4.26113490160077
"GW101-3H11_contig_1_1015",6.3568257075764,6.07364026736623,5.81267141704872,6.43102057580115,6.75961427221842,6.9735762376054,6.341049179702,5.95969115233039,6.53790269400771,7.39624432254397,6.24092657030578,7.930294940851,7.00139468790786,7.07732928936788,7.12200726289779,6.83596781253962,6.82956596236652,6.64617592799704
"GW101-3H11_contig_1_1016",6.0763535091424,5.67525549338903,5.45011842040514,6.40913005350859,6.61762700402944,6.693208834478,5.04414154252743,5.06973981678167,3.41146949546567,7.07868770563235,6.64220561594734,1.38696872066301,6.6285399821145,6.59011693521214,6.86955024803794,6.65250441505716,6.96115565653422,6.47436931428529
"GW101-3H11_contig_1_1017",6.24499435345941,6.10492882414654,5.93089688189806,7.13120395969426,7.30115060810314,7.3615538119179,4.07135675803738,4.25945564707741,5.65790556789299,7.09511671007133,6.67369786544622,7.36051695535678,7.21643160586275,7.02725398165505,7.19720705961638,6.79224495961217,7.43443398712251,7.38893676710616
"GW101-3H11_contig_1_1018",6.16314322485723,5.85545201467758,5.75398321607229,6.94987264093247,6.77083842482311,6.8562902351415,4.38449899540413,5.34908983482443,4.32339383316944,6.9309212121467,6.15422554160217,1.38696872066301,6.48844129009862,6.4141657025135,6.73719334272843,6.56425688783468,6.56944918838672,6.31675380975036
"GW101-3H11_contig_1_1019",5.99130820658453,5.9272586371094,5.83710754311008,6.61436427774344,6.48758023461833,6.84166987552679,4.64013078643262,4.25945564707741,5.14158005803479,6.59194726072302,6.10883382807416,6.40469985381532,6.54258751317772,6.24909551146963,6.65952311326985,6.35471276235973,7.07117678761269,6.55501120281265
"GW101-3H11_contig_1_102",7.49464624992207,7.9959009100062,8.56188940287927,7.49796212022183,7.66413382154934,7.50944069753863,8.49522461258223,9.06907331198797,8.6713957968792,8.00384378672947,8.31296053000766,7.930294940851,8.09185226970311,7.61362851277779,7.6694117914735,8.96666400530304,9.11881154848707,9.00252848100043
"GW101-3H11_contig_1_1020",6.17604273314181,6.10492882414654,6.24258661736738,7.07673187293673,7.01061778445281,7.12853818632851,5.93216654778687,5.47065145601037,6.28120362787162,6.94911251999124,6.67369786544622,1.38696872066301,7.54278939715228,7.42543382482201,7.03243642380482,7.53132865631873,7.44264421575899,7.81263076436711
"GW101-3H11_contig_1_1021",6.93641607789167,6.95440102397659,6.75917236732631,7.24980576405586,7.01691533684784,7.25085485728442,7.21951014961745,6.81072576387368,7.26184756542484,6.3667743745044,6.15422554160217,1.38696872066301,5.89338044739857,5.72781561924503,5.99544729878328,6.48405959893922,5.93961881311989,6.00833401201197
"GW101-3H11_contig_1_1022",6.30493417509425,6.09249495063483,6.16755873260475,6.81492808189762,6.42262467993918,6.53859685022655,7.76141235563544,6.98353919029094,7.14327868798778,6.80672810140039,6.87674921692066,6.40469985381532,6.08816183691197,6.158872147012,5.74235542142124,5.74616780668349,5.23338641625109,4.88335732506535
"GW101-3H11_contig_1_1023",6.20149993367543,5.99564804455257,5.85317039659381,6.13676617763727,5.94264806610834,6.33226842895191,6.65911538531117,6.98353919029094,7.31766533091229,6.52073070991654,6.67369786544622,6.40469985381532,6.34343779299085,6.4450244847424,6.67276240254903,6.27749257887587,6.21386527877759,5.70287453166667
"GW101-3H11_contig_1_1024",5.43688763728556,5.31674036409302,5.40717265997082,5.1647181013742,5.22767069310961,5.38303628895964,6.60087424695456,5.87430876855366,5.89696971648238,6.16350632238996,6.32270008586332,5.48752594400415,5.4199623022544,5.51117806548831,6.09724002543382,6.14461700299903,6.28871297544559,5.81207122167895
