"","X_SynCom_A_T42_repeat_L1","X_SynCom_B_T42_repeat_L1","X_SynCom_C_T42_repeat_L1","X_SynCom_A_T53_repeat_L1","X_SynCom_B_T53_repeat_L1","X_SynCom_C_T53_repeat_L1","X_SynCom_A_T71_repeat_L1","X_SynCom_B_T71_repeat_L1","X_SynCom_C_T71_repeat_L1","X_R12_A_T77_repeat_L1","X_R12_B_T77_repeat_L1","X_R12_C_T77_repeat_L1","X_R12_A_T95_repeat_L1","X_R12_B_T95_repeat_L1","X_R12_C_T95_repeat_L1","X_SynCom_A_T95_repeat_L1","X_SynCom_B_T95_repeat_L1","X_SynCom_C_T95_repeat_L1","X_R12_A_T119_repeat_L1","X_R12_B_T119_repeat_L1","X_R12_C_T119_repeat_L1","X_R12_A_T216_repeat_L1","X_R12_B_T216_repeat_L1","X_R12_C_T216_repeat_L1"
"FW510-R12_contig_1_1",10.9522676304111,11.0072504034912,10.8870597561454,10.9913805915419,11.0528297133004,11.4620541668059,11.2016419205879,11.1015703050892,11.2891462729362,11.5562227883863,11.4653045282188,11.5248538667621,11.2784475446788,11.1347216997356,11.1890764432854,11.2648917760689,11.3600973081858,11.5172655770044,10.9980589871865,11.068123461349,11.1445994564039,10.6426619982994,10.6663748930958,10.6727368754204
"FW510-R12_contig_1_10",9.83300437702205,9.53080267894476,9.66141608936997,9.94126053096125,9.69062572265797,10.7729038037434,10.0855373494226,10.1933924132388,10.3756914146052,8.70947267885848,9.25939792192207,9.41269695615441,9.80500851103008,9.773655748457,9.93035628663552,10.2352092864882,10.3008593896352,10.4489943174744,9.99481474528315,10.0541611597362,10.1193902923823,9.46573507293084,9.65624080717581,9.65476486851756
"FW510-R12_contig_1_100",4.24555050593743,4.83422142822399,5.06757837668476,5.18897344490414,4.2586362985692,2.1197029013369,4.29323154570104,4.87060000252703,3.67147951461243,3.47945196573469,4.02581973921557,3.54802774818495,4.42897540316447,4.35584178892033,4.03075116916905,4.25615485228354,3.82213021180062,4.12805755045848,4.21100868313442,4.30564085860632,4.12533208678942,6.03920013971158,5.52468563098176,5.81157130430891
"FW510-R12_contig_1_1000",11.9839347332617,12.0698719181612,12.011159660114,11.7867719860442,11.8654158756252,11.0711226873559,11.7623481808901,11.8182922143074,11.752658149197,11.7776416346222,11.8209164750379,11.8138960945731,11.7992068037837,11.7739570309135,11.7632914575971,11.7355634905263,11.5757113916037,11.6450709072432,11.8050982694553,11.8620833443728,11.8209354218878,11.9609537392731,12.0787336216496,12.116184128058
"FW510-R12_contig_1_1001",8.706231135196,8.77081223732641,8.4543775236878,5.60700727321767,6.26799186676075,2.1197029013369,5.29978539032071,5.53793372353483,5.41095882924907,7.60815335381388,7.83707140659071,8.15881800216554,5.97715918894795,6.0967979217149,5.76075029939722,5.60466999174261,5.61563565760379,5.60837785317584,5.9780337169684,6.04362717732839,5.39320291396324,6.23029789239662,6.32394560893832,6.16130280522036
"FW510-R12_contig_1_1002",9.54963727429954,9.35631355631143,9.36794857540738,5.7594009910872,5.41132250165869,2.1197029013369,5.87897274873591,5.8542870875212,5.91598839170839,8.75026341151107,8.73440317463281,8.90175310319963,5.90679440474595,5.91931053270598,5.95351333848645,6.08898321548989,6.13915464685681,5.80077179819545,5.84244186921424,5.88655800373822,5.63837180154717,5.77451000527099,6.14639429013453,6.45707905293711
"FW510-R12_contig_1_1003",14.0765125166779,14.1635435972545,13.9905330284468,8.10586366230087,7.24336703397895,8.11100537947656,7.49239139991882,7.56658798504035,7.78812043098292,13.6182149336073,13.3671759567491,13.5792425942231,8.60720401349132,8.45100469868032,8.3749107525289,7.85999968710631,7.75559644915595,7.56432863006566,8.43514060787868,8.20048919378675,8.03996580996752,8.59758496137037,8.66337385530779,8.7356991301162
"FW510-R12_contig_1_1004",12.1315497122395,12.1559039353783,12.232949254909,5.34249053050901,6.1563668367643,7.15466782171565,5.12410648992794,4.94012133896778,4.91620541859651,11.7181929699735,11.5128809435413,11.5864699872004,6.95083983102051,6.861860791821,6.38085643859723,4.81764575158265,4.92465827386396,5.38575918169018,5.64670927115457,5.67836720228992,5.88705341440032,6.51013559938926,7.2394350073473,6.90068479620461
"FW510-R12_contig_1_1005",9.37519619588999,9.38116323469624,9.49190695919985,8.92015260452297,8.93361692947871,10.2455612578883,8.62988341827864,8.88388790799994,8.92334818367199,8.84021340766136,8.8732416730653,8.73709666479521,8.81169168975537,8.7935171533177,8.83648007088081,8.96816368541218,8.94398182598396,8.71210017721842,8.76728554543916,8.93055086090489,8.97641311099031,9.36966684859343,9.21488549600877,9.30371640777603
"FW510-R12_contig_1_1006",9.67145159129387,9.64600818139896,9.73781283974633,9.73767269663099,9.72026871048103,10.2455612578883,9.86095149244782,9.76442098967819,9.5967284814501,9.51954787513016,9.49610011219598,9.56270688231342,9.78318940276966,9.73560583400614,9.80337297688197,9.96203068958133,9.85930735794428,9.86085376089541,9.89971713324024,9.83872908289974,9.76444268320795,9.75061955157494,9.89677722427645,9.707083227191
