,gene,enzyme KO,superpathway,pathway,subpathway,enzyme,superpathway KO,pathway KO,subpathway KO,R12-T77,R12-T95,R12-T119,R12-T216,SynCom-T42,SynCom-T53,SynCom-T71,SynCom-T95
11,FW510-R12_contig_1_4,K02470,Brite Hierarchies,Protein families: genetic information processing,DNA replication proteins,gyrB; DNA gyrase subunit B,ko09180,ko09182,ko03032,1.198030574774181,0.40031532391275026,-0.2806256637506389,-2.303558604221457,-0.2248030582278753,-0.03761138997324379,0.3172723739944133,0.9309804434918635
12,FW510-R12_contig_1_4,K02470,Brite Hierarchies,Protein families: genetic information processing,DNA repair and recombination proteins,gyrB; DNA gyrase subunit B,ko09180,ko09182,ko03400,1.198030574774181,0.40031532391275026,-0.2806256637506389,-2.303558604221457,-0.2248030582278753,-0.03761138997324379,0.3172723739944133,0.9309804434918635
13,FW510-R12_contig_1_6,K03832,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,tonB; periplasmic protein,ko09180,ko09183,ko02000,1.1568226098533683,0.3851576862114851,0.13857178364344966,-2.500585265395602,0.10537750643817531,0.08576725652932993,0.2024722682729371,0.4264161544468652
14,FW510-R12_contig_1_6,K07126,Not Included in Pathway or Brite,Unclassified,Unclassified,K07126; uncharacterized,ko09190,ko09194,ko99997,1.1568226098533683,0.3851576862114851,0.13857178364344966,-2.500585265395602,0.10537750643817531,0.08576725652932993,0.2024722682729371,0.4264161544468652
15,FW510-R12_contig_1_7,K03561,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,exbB; biopolymer transport protein,ko09180,ko09183,ko02000,1.0844477406441644,0.3057273354945694,-0.39171201474708023,-2.391890954938769,0.8425804965911952,0.17986698026804673,0.035797201295376606,0.33518321539249507
16,FW510-R12_contig_1_7,K03562,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,tolQ; biopolymer transport protein,ko09180,ko09183,ko02000,1.0844477406441644,0.3057273354945694,-0.39171201474708023,-2.391890954938769,0.8425804965911952,0.17986698026804673,0.035797201295376606,0.33518321539249507
17,FW510-R12_contig_1_8,K03559,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,exbD; biopolymer transport protein,ko09180,ko09183,ko02000,1.101326266159178,0.3653826729671303,-0.23668080064377353,-2.347609476694927,1.0180665864668272,0.15554309507860484,-0.13770711758124224,0.0816787742482077
18,FW510-R12_contig_1_9,K03559,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,exbD; biopolymer transport protein,ko09180,ko09183,ko02000,1.2252838048451848,0.5137022738683793,-0.12650032200221914,-2.314887855628867,0.8774287693032381,0.154455625151953,-0.24240831883686922,-0.08707397670080157
101,FW510-R12_contig_1_62,K04751,Environmental Information Processing,Signal transduction,Two-component system,glnB; nitrogen regulatory protein P-II,ko09130,ko09132,ko02020,-1.0306499172029553,-0.9139826226875055,-0.05673066911095122,2.036709069876319,0.7249047905319775,-1.152071299264919,0.29953793967516035,0.09228270818287068
102,FW510-R12_contig_1_62,K04752,Not Included in Pathway or Brite,Unclassified: genetic information processing,,glnK; nitrogen regulatory protein P-II,ko09190,ko09192,ko99973,-1.0306499172029553,-0.9139826226875055,-0.05673066911095122,2.036709069876319,0.7249047905319775,-1.152071299264919,0.29953793967516035,0.09228270818287068
103,FW510-R12_contig_1_63,K03320,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,"amt, AMT, MEP; ammonium transporter, Amt",ko09180,ko09183,ko02000,-0.7771780542570177,-0.6703596940640989,0.011149478585527235,1.4151200445547207,1.1996096737541673,-1.8152334841280373,0.25940621153802373,0.37748582401671305
157,FW510-R12_contig_1_100,K03183,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis,"ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163",ko09100,ko09108,ko00130,-1.1019295080251288,-0.143928094770611,-0.23829299816612268,2.3349103003968352,0.5800527823694047,-0.8225025932179857,-0.1331956033021757,-0.47511428528421384
158,FW510-R12_contig_1_101,K01487,Metabolism,Nucleotide metabolism,Purine metabolism,"guaD, GDA; guanine deaminase",ko09100,ko09104,ko00230,-0.16011059738105368,0.4205502361861987,0.30417600335159484,1.8702922588939548,0.055040111033798744,-1.625225776534598,0.3385881055511125,-1.203310341101007
202,FW510-R12_contig_1_137,K01057,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,"PGLS, pgl, devB; 6-phosphogluconolactonase",ko09100,ko09101,ko00030,0.1082079867847471,-0.1380967408535537,0.20008662360951407,1.5414037167470622,0.9482955880023599,-2.1185491067626527,-0.17265224609624727,-0.36869582143123514
203,FW510-R12_contig_1_137,K01810,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,"GPI, pgi; glucose-6-phosphate isomerase",ko09100,ko09101,ko00010,0.1082079867847471,-0.1380967408535537,0.20008662360951407,1.5414037167470622,0.9482955880023599,-2.1185491067626527,-0.17265224609624727,-0.36869582143123514
204,FW510-R12_contig_1_137,K01810,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,"GPI, pgi; glucose-6-phosphate isomerase",ko09100,ko09101,ko00030,0.1082079867847471,-0.1380967408535537,0.20008662360951407,1.5414037167470622,0.9482955880023599,-2.1185491067626527,-0.17265224609624727,-0.36869582143123514
205,FW510-R12_contig_1_137,K01810,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism,"GPI, pgi; glucose-6-phosphate isomerase",ko09100,ko09101,ko00500,0.1082079867847471,-0.1380967408535537,0.20008662360951407,1.5414037167470622,0.9482955880023599,-2.1185491067626527,-0.17265224609624727,-0.36869582143123514
206,FW510-R12_contig_1_137,K01810,Metabolism,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,"GPI, pgi; glucose-6-phosphate isomerase",ko09100,ko09101,ko00520,0.1082079867847471,-0.1380967408535537,0.20008662360951407,1.5414037167470622,0.9482955880023599,-2.1185491067626527,-0.17265224609624727,-0.36869582143123514
207,FW510-R12_contig_1_137,K01810,Brite Hierarchies,Protein families: signaling and cellular processes,Exosome,"GPI, pgi; glucose-6-phosphate isomerase",ko09180,ko09183,ko04147,0.1082079867847471,-0.1380967408535537,0.20008662360951407,1.5414037167470622,0.9482955880023599,-2.1185491067626527,-0.17265224609624727,-0.36869582143123514
266,FW510-R12_contig_1_177,K06894,Brite Hierarchies,Protein families: metabolism,Peptidases and inhibitors,yfhM;,ko09180,ko09181,ko01002,-0.9427552902616207,-0.0675234878375163,2.1663262429782297,0.8633457689034227,0.17610775634557688,-0.7167207997623389,-0.862312146109959,-0.6164680442557963
