,gene,enzyme KO,superpathway,pathway,subpathway,enzyme,superpathway KO,pathway KO,subpathway KO,R12-T77,R12-T95,R12-T119,R12-T216,SynCom-T42,SynCom-T53,SynCom-T71,SynCom-T95
0,FW510-R12_contig_1_1,K02313,Environmental Information Processing,Signal transduction,Two-component system,dnaA; chromosomal replication initiator,ko09130,ko09132,ko02020,1.5244487337869508,0.2368442342771743,-0.29703096731250284,-1.9731425168138836,-0.7937296501038229,0.1059458132098723,0.2233601642324586,0.9733041887237533
1,FW510-R12_contig_1_1,K02313,Cellular Processes,Cell growth and death,Cell cycle - Caulobacter,dnaA; chromosomal replication initiator,ko09140,ko09143,ko04112,1.5244487337869508,0.2368442342771743,-0.29703096731250284,-1.9731425168138836,-0.7937296501038229,0.1059458132098723,0.2233601642324586,0.9733041887237533
2,FW510-R12_contig_1_1,K02313,Brite Hierarchies,Protein families: genetic information processing,DNA replication proteins,dnaA; chromosomal replication initiator,ko09180,ko09182,ko03032,1.5244487337869508,0.2368442342771743,-0.29703096731250284,-1.9731425168138836,-0.7937296501038229,0.1059458132098723,0.2233601642324586,0.9733041887237533
3,FW510-R12_contig_1_1,K02313,Brite Hierarchies,Protein families: genetic information processing,Chromosome and associated proteins,dnaA; chromosomal replication initiator,ko09180,ko09182,ko03036,1.5244487337869508,0.2368442342771743,-0.29703096731250284,-1.9731425168138836,-0.7937296501038229,0.1059458132098723,0.2233601642324586,0.9733041887237533
4,FW510-R12_contig_1_2,K02338,Genetic Information Processing,Replication and repair,DNA replication,dnaN; DNA polymerase III subunit beta,ko09120,ko09124,ko03030,0.9920436586630196,-0.7565824438656352,-1.7167268653385666,1.4663322328255637,0.4244217548892655,-0.8033097633767863,-0.27381371685420036,0.6676351430573039
5,FW510-R12_contig_1_2,K02338,Genetic Information Processing,Replication and repair,Mismatch repair,dnaN; DNA polymerase III subunit beta,ko09120,ko09124,ko03430,0.9920436586630196,-0.7565824438656352,-1.7167268653385666,1.4663322328255637,0.4244217548892655,-0.8033097633767863,-0.27381371685420036,0.6676351430573039
6,FW510-R12_contig_1_2,K02338,Genetic Information Processing,Replication and repair,Homologous recombination,dnaN; DNA polymerase III subunit beta,ko09120,ko09124,ko03440,0.9920436586630196,-0.7565824438656352,-1.7167268653385666,1.4663322328255637,0.4244217548892655,-0.8033097633767863,-0.27381371685420036,0.6676351430573039
7,FW510-R12_contig_1_2,K02338,Brite Hierarchies,Protein families: genetic information processing,DNA replication proteins,dnaN; DNA polymerase III subunit beta,ko09180,ko09182,ko03032,0.9920436586630196,-0.7565824438656352,-1.7167268653385666,1.4663322328255637,0.4244217548892655,-0.8033097633767863,-0.27381371685420036,0.6676351430573039
8,FW510-R12_contig_1_2,K02338,Brite Hierarchies,Protein families: genetic information processing,DNA repair and recombination proteins,dnaN; DNA polymerase III subunit beta,ko09180,ko09182,ko03400,0.9920436586630196,-0.7565824438656352,-1.7167268653385666,1.4663322328255637,0.4244217548892655,-0.8033097633767863,-0.27381371685420036,0.6676351430573039
9,FW510-R12_contig_1_3,K03629,Genetic Information Processing,Replication and repair,Homologous recombination,recF; DNA replication and repair protein,ko09120,ko09124,ko03440,1.1063641087296527,0.5685425405378447,0.31306911111748426,-0.25454553978372757,0.8575834956748706,-2.35054571782581,-0.13580778443301111,-0.10466021401731371
10,FW510-R12_contig_1_3,K03629,Brite Hierarchies,Protein families: genetic information processing,DNA repair and recombination proteins,recF; DNA replication and repair protein,ko09180,ko09182,ko03400,1.1063641087296527,0.5685425405378447,0.31306911111748426,-0.25454553978372757,0.8575834956748706,-2.35054571782581,-0.13580778443301111,-0.10466021401731371
11,FW510-R12_contig_1_4,K02470,Brite Hierarchies,Protein families: genetic information processing,DNA replication proteins,gyrB; DNA gyrase subunit B,ko09180,ko09182,ko03032,1.198030574774181,0.40031532391275026,-0.2806256637506389,-2.303558604221457,-0.2248030582278753,-0.03761138997324379,0.3172723739944133,0.9309804434918635
12,FW510-R12_contig_1_4,K02470,Brite Hierarchies,Protein families: genetic information processing,DNA repair and recombination proteins,gyrB; DNA gyrase subunit B,ko09180,ko09182,ko03400,1.198030574774181,0.40031532391275026,-0.2806256637506389,-2.303558604221457,-0.2248030582278753,-0.03761138997324379,0.3172723739944133,0.9309804434918635
13,FW510-R12_contig_1_6,K03832,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,tonB; periplasmic protein,ko09180,ko09183,ko02000,1.1568226098533683,0.3851576862114851,0.13857178364344966,-2.500585265395602,0.10537750643817531,0.08576725652932993,0.2024722682729371,0.4264161544468652
14,FW510-R12_contig_1_6,K07126,Not Included in Pathway or Brite,Unclassified,Unclassified,K07126; uncharacterized,ko09190,ko09194,ko99997,1.1568226098533683,0.3851576862114851,0.13857178364344966,-2.500585265395602,0.10537750643817531,0.08576725652932993,0.2024722682729371,0.4264161544468652
15,FW510-R12_contig_1_7,K03561,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,exbB; biopolymer transport protein,ko09180,ko09183,ko02000,1.0844477406441644,0.3057273354945694,-0.39171201474708023,-2.391890954938769,0.8425804965911952,0.17986698026804673,0.035797201295376606,0.33518321539249507
16,FW510-R12_contig_1_7,K03562,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,tolQ; biopolymer transport protein,ko09180,ko09183,ko02000,1.0844477406441644,0.3057273354945694,-0.39171201474708023,-2.391890954938769,0.8425804965911952,0.17986698026804673,0.035797201295376606,0.33518321539249507
17,FW510-R12_contig_1_8,K03559,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,exbD; biopolymer transport protein,ko09180,ko09183,ko02000,1.101326266159178,0.3653826729671303,-0.23668080064377353,-2.347609476694927,1.0180665864668272,0.15554309507860484,-0.13770711758124224,0.0816787742482077
18,FW510-R12_contig_1_9,K03559,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,exbD; biopolymer transport protein,ko09180,ko09183,ko02000,1.2252838048451848,0.5137022738683793,-0.12650032200221914,-2.314887855628867,0.8774287693032381,0.154455625151953,-0.24240831883686922,-0.08707397670080157
19,FW510-R12_contig_1_10,K03474,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism,pdxJ; pyridoxine 5-phosphate synthase,ko09100,ko09108,ko00750,-2.002245418333302,-0.09344876975110426,0.4981303512988443,-0.7504659778366778,-0.5275222190381644,0.7102549311753091,0.9344087934735087,1.2308883090115958
20,FW510-R12_contig_1_11,K00997,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,acpS; holo-[acyl-carrier protein] synthase,ko09100,ko09108,ko00770,-2.3390809730746307,0.22091122931773535,0.5970625444781605,-0.5822491147318591,0.6090089262151662,-0.1649551213324858,0.8991359430720552,0.7601665660558584
21,FW510-R12_contig_1_11,K06133,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,"LYS5, acpT; 4'-phosphopantetheinyl transferase",ko09100,ko09108,ko00770,-2.3390809730746307,0.22091122931773535,0.5970625444781605,-0.5822491147318591,0.6090089262151662,-0.1649551213324858,0.8991359430720552,0.7601665660558584
22,FW510-R12_contig_1_13,K00266,Metabolism,Energy metabolism,Nitrogen metabolism,gltD; glutamate synthase (NADPH) small chain,ko09100,ko09102,ko00910,-1.9633183041340745,-0.5964333825967465,0.5712697154657072,1.7922205260777004,-0.04059855297871011,-0.31065537773085766,0.31377896500791913,0.23373641088905545
23,FW510-R12_contig_1_13,K00266,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",gltD; glutamate synthase (NADPH) small chain,ko09100,ko09105,ko00250,-1.9633183041340745,-0.5964333825967465,0.5712697154657072,1.7922205260777004,-0.04059855297871011,-0.31065537773085766,0.31377896500791913,0.23373641088905545
24,FW510-R12_contig_1_14,K00265,Metabolism,Energy metabolism,Nitrogen metabolism,gltB; glutamate synthase (NADPH) large chain,ko09100,ko09102,ko00910,-1.9706623755620822,-0.6806359109654907,0.41969256820269396,1.7737233106902317,0.13858669998397966,-0.2941583000030808,0.44290709585820653,0.17054691179553536
25,FW510-R12_contig_1_14,K00265,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",gltB; glutamate synthase (NADPH) large chain,ko09100,ko09105,ko00250,-1.9706623755620822,-0.6806359109654907,0.41969256820269396,1.7737233106902317,0.13858669998397966,-0.2941583000030808,0.44290709585820653,0.17054691179553536
26,FW510-R12_contig_1_14,K00265,Brite Hierarchies,Protein families: metabolism,Peptidases and inhibitors,gltB; glutamate synthase (NADPH) large chain,ko09180,ko09181,ko01002,-1.9706623755620822,-0.6806359109654907,0.41969256820269396,1.7737233106902317,0.13858669998397966,-0.2941583000030808,0.44290709585820653,0.17054691179553536
27,FW510-R12_contig_1_14,K00284,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,"GLU, gltS; glutamate synthase (ferredoxin)",ko09100,ko09101,ko00630,-1.9706623755620822,-0.6806359109654907,0.41969256820269396,1.7737233106902317,0.13858669998397966,-0.2941583000030808,0.44290709585820653,0.17054691179553536
28,FW510-R12_contig_1_14,K00284,Metabolism,Energy metabolism,Nitrogen metabolism,"GLU, gltS; glutamate synthase (ferredoxin)",ko09100,ko09102,ko00910,-1.9706623755620822,-0.6806359109654907,0.41969256820269396,1.7737233106902317,0.13858669998397966,-0.2941583000030808,0.44290709585820653,0.17054691179553536
29,FW510-R12_contig_1_14,K00284,Brite Hierarchies,Protein families: metabolism,Peptidases and inhibitors,"GLU, gltS; glutamate synthase (ferredoxin)",ko09180,ko09181,ko01002,-1.9706623755620822,-0.6806359109654907,0.41969256820269396,1.7737233106902317,0.13858669998397966,-0.2941583000030808,0.44290709585820653,0.17054691179553536
30,FW510-R12_contig_1_16,K01895,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,"ACSS1_2, acs; acetyl-CoA synthetase",ko09100,ko09101,ko00010,-1.063291479254809,-0.6864428921604084,0.6842658891205831,0.635560022329374,1.5087969344375534,0.8492843195508585,-0.3855650791931512,-1.542607714829967
31,FW510-R12_contig_1_16,K01895,Metabolism,Carbohydrate metabolism,Pyruvate metabolism,"ACSS1_2, acs; acetyl-CoA synthetase",ko09100,ko09101,ko00620,-1.063291479254809,-0.6864428921604084,0.6842658891205831,0.635560022329374,1.5087969344375534,0.8492843195508585,-0.3855650791931512,-1.542607714829967
32,FW510-R12_contig_1_16,K01895,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,"ACSS1_2, acs; acetyl-CoA synthetase",ko09100,ko09101,ko00630,-1.063291479254809,-0.6864428921604084,0.6842658891205831,0.635560022329374,1.5087969344375534,0.8492843195508585,-0.3855650791931512,-1.542607714829967
33,FW510-R12_contig_1_16,K01895,Metabolism,Carbohydrate metabolism,Propanoate metabolism,"ACSS1_2, acs; acetyl-CoA synthetase",ko09100,ko09101,ko00640,-1.063291479254809,-0.6864428921604084,0.6842658891205831,0.635560022329374,1.5087969344375534,0.8492843195508585,-0.3855650791931512,-1.542607714829967
34,FW510-R12_contig_1_16,K01895,Metabolism,Energy metabolism,Carbon fixation pathways in prokaryotes,"ACSS1_2, acs; acetyl-CoA synthetase",ko09100,ko09102,ko00720,-1.063291479254809,-0.6864428921604084,0.6842658891205831,0.635560022329374,1.5087969344375534,0.8492843195508585,-0.3855650791931512,-1.542607714829967
35,FW510-R12_contig_1_16,K01895,Metabolism,Energy metabolism,Methane metabolism,"ACSS1_2, acs; acetyl-CoA synthetase",ko09100,ko09102,ko00680,-1.063291479254809,-0.6864428921604084,0.6842658891205831,0.635560022329374,1.5087969344375534,0.8492843195508585,-0.3855650791931512,-1.542607714829967
36,FW510-R12_contig_1_16,K01895,Brite Hierarchies,Protein families: metabolism,Lipid biosynthesis proteins,"ACSS1_2, acs; acetyl-CoA synthetase",ko09180,ko09181,ko01004,-1.063291479254809,-0.6864428921604084,0.6842658891205831,0.635560022329374,1.5087969344375534,0.8492843195508585,-0.3855650791931512,-1.542607714829967
37,FW510-R12_contig_1_19,K00666,Brite Hierarchies,Protein families: metabolism,Lipid biosynthesis proteins,K00666; fatty-acyl-CoA synthase,ko09180,ko09181,ko01004,-1.4105990922305003,-1.0420805444672452,0.06428488135487888,1.9240266436339577,0.4359505261520756,0.8371584183926486,-0.41758636078888356,-0.3911544720469399
38,FW510-R12_contig_1_19,K01897,Metabolism,Lipid metabolism,Fatty acid biosynthesis,"ACSL, fadD; long-chain acyl-CoA synthetase",ko09100,ko09103,ko00061,-1.4105990922305003,-1.0420805444672452,0.06428488135487888,1.9240266436339577,0.4359505261520756,0.8371584183926486,-0.41758636078888356,-0.3911544720469399
