feature_id	gene_id	RAST	psort_loc	psort_loc_score	psort_loc_details	psort_loc_sec
1_3346_gene	GW101-3H11_contig_1_3346	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.76		
1_279_gene	GW101-3H11_contig_1_279	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.76		
1_3659_gene	GW101-3H11_contig_1_3659	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.84		
1_3385_gene	GW101-3H11_contig_1_3385	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.84		
1_857_gene	GW101-3H11_contig_1_857	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.76		
1_3378_gene	GW101-3H11_contig_1_3378	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.76		
1_283_gene	GW101-3H11_contig_1_283	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.76		
1_1721_gene	GW101-3H11_contig_1_1721	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Unknown	2.50		
1_662_gene	GW101-3H11_contig_1_662	ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)	Periplasmic	9.84		
1_711_gene	GW101-3H11_contig_1_711	hypothetical protein	Unknown	4.69	(This protein may have multiple localization sites.)	
1_2437_gene	GW101-3H11_contig_1_2437	hypothetical protein	Cytoplasmic	8.96		
1_4207_gene	GW101-3H11_contig_1_4207	hypothetical protein	Unknown	2.00		
1_99_gene	GW101-3H11_contig_1_99	hypothetical protein	Unknown	2.00		
1_2623_gene	GW101-3H11_contig_1_2623	hypothetical protein	CytoplasmicMembrane	10.00		
1_1229_gene	GW101-3H11_contig_1_1229	hypothetical protein	Unknown	2.00		
1_817_gene	GW101-3H11_contig_1_817	hypothetical protein	Unknown	2.00		
1_232_gene	GW101-3H11_contig_1_232	hypothetical protein	Unknown	2.50		
1_2478_gene	GW101-3H11_contig_1_2478	hypothetical protein	Unknown	2.00		
1_3129_gene	GW101-3H11_contig_1_3129	hypothetical protein	Unknown	2.00		
1_2842_gene	GW101-3H11_contig_1_2842	hypothetical protein	CytoplasmicMembrane	10.00		
1_3488_gene	GW101-3H11_contig_1_3488	hypothetical protein	Unknown	2.50		
1_3572_gene	GW101-3H11_contig_1_3572	hypothetical protein	Unknown	2.00		
1_1592_gene	GW101-3H11_contig_1_1592	hypothetical protein	CytoplasmicMembrane	10.00		
1_652_gene	GW101-3H11_contig_1_652	hypothetical protein	Unknown	2.00		
1_4055_gene	GW101-3H11_contig_1_4055	hypothetical protein	CytoplasmicMembrane	10.00		
1_3352_gene	GW101-3H11_contig_1_3352	hypothetical protein	Cytoplasmic	9.97		
1_1226_gene	GW101-3H11_contig_1_1226	hypothetical protein	Unknown	2.50		
1_2556_gene	GW101-3H11_contig_1_2556	hypothetical protein	Unknown	2.00		
1_2319_gene	GW101-3H11_contig_1_2319	hypothetical protein	Unknown	2.00		
1_910_gene	GW101-3H11_contig_1_910	hypothetical protein	Unknown	2.00		
1_1886_gene	GW101-3H11_contig_1_1886	hypothetical protein	CytoplasmicMembrane	9.93		
1_95_gene	GW101-3H11_contig_1_95	hypothetical protein	Periplasmic	9.84		
1_4664_gene	GW101-3H11_contig_1_4664	hypothetical protein	Extracellular	9.64		
1_1332_gene	GW101-3H11_contig_1_1332	hypothetical protein	Unknown	2.50		
1_1885_gene	GW101-3H11_contig_1_1885	hypothetical protein	Unknown	2.00		
1_2132_gene	GW101-3H11_contig_1_2132	hypothetical protein	Cytoplasmic	8.96		
1_4471_gene	GW101-3H11_contig_1_4471	hypothetical protein	Unknown	2.50		
1_1492_gene	GW101-3H11_contig_1_1492	hypothetical protein	Unknown	2.00		
1_2955_gene	GW101-3H11_contig_1_2955	hypothetical protein	Unknown	2.00		
1_4389_gene	GW101-3H11_contig_1_4389	hypothetical protein	Unknown	2.00		
1_286_gene	GW101-3H11_contig_1_286	hypothetical protein	Unknown	2.50		
1_3233_gene	GW101-3H11_contig_1_3233	hypothetical protein	Cytoplasmic	8.96		
1_3396_gene	GW101-3H11_contig_1_3396	hypothetical protein	Unknown	2.00		
1_1737_gene	GW101-3H11_contig_1_1737	hypothetical protein	Cytoplasmic	8.96		
1_2061_gene	GW101-3H11_contig_1_2061	hypothetical protein	Cytoplasmic	8.96		
1_3438_gene	GW101-3H11_contig_1_3438	hypothetical protein	Unknown	2.50		
1_2992_gene	GW101-3H11_contig_1_2992	hypothetical protein	Unknown	2.00		
1_3508_gene	GW101-3H11_contig_1_3508	hypothetical protein	Cytoplasmic	8.96		
1_1200_gene	GW101-3H11_contig_1_1200	hypothetical protein	Unknown	2.00		
1_231_gene	GW101-3H11_contig_1_231	hypothetical protein	CytoplasmicMembrane	10.00		
1_4537_gene	GW101-3H11_contig_1_4537	hypothetical protein	Unknown	2.50		
1_2339_gene	GW101-3H11_contig_1_2339	hypothetical protein	Unknown	2.50		
1_242_gene	GW101-3H11_contig_1_242	hypothetical protein	CytoplasmicMembrane	10.00		
1_2532_gene	GW101-3H11_contig_1_2532	hypothetical protein	CytoplasmicMembrane	9.86		
1_1632_gene	GW101-3H11_contig_1_1632	hypothetical protein	CytoplasmicMembrane	10.00		
1_1426_gene	GW101-3H11_contig_1_1426	hypothetical protein	Unknown	2.00		
1_2134_gene	GW101-3H11_contig_1_2134	hypothetical protein	Unknown	2.50		
1_3772_gene	GW101-3H11_contig_1_3772	hypothetical protein	Unknown	2.00		
1_1601_gene	GW101-3H11_contig_1_1601	hypothetical protein	Unknown	2.50		
1_3587_gene	GW101-3H11_contig_1_3587	hypothetical protein	Cytoplasmic	8.96		
1_144_gene	GW101-3H11_contig_1_144	hypothetical protein	Cytoplasmic	8.96		
1_1209_gene	GW101-3H11_contig_1_1209	hypothetical protein	Unknown	2.00		
