Query	Seed ortholog	e-value	score	best tax lvl	Preferred_name	GO terms	EC number	KEGG KO	KEGG pathway	KEGG module	KEGG reaction	KEGG rclass	BRITE	KEGG TC	CAZy	BiGG reaction	annot lvl	matching OGs	Best OG	COG cat	description
GW101-3H11_contig_1_1	358220.C380_00005	2.20E-219	768.1	Comamonadaceae	dnaA	"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1990837,GO:2000112"		ko:K02313	"ko02020,ko04112,map02020,map04112"				"ko00000,ko00001,ko03032,ko03036"				Bacteria	"1MU5H@1224,2VHH0@28216,4AAHN@80864,COG0593@1,COG0593@2"	NA|NA|NA	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids
GW101-3H11_contig_1_2	358220.C380_00010	3.10E-201	707.6	Comamonadaceae	dnaN		2.7.7.7	ko:K02338	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	M00260	"R00375,R00376,R00377,R00378"	RC02795	"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400"				Bacteria	"1MVD9@1224,2VH9B@28216,4AAUR@80864,COG0592@1,COG0592@2"	NA|NA|NA	L	"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria"
GW101-3H11_contig_1_3	358220.C380_00015	0	1636.7	Comamonadaceae	gyrB	"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006265,GO:0006351,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009330,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032991,GO:0034335,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0042221,GO:0042493,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0140097,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576"	5.99.1.3	ko:K02470					"ko00000,ko01000,ko03032,ko03400"				Bacteria	"1MVKT@1224,2VI8N@28216,4AA3D@80864,COG0187@1,COG0187@2"	NA|NA|NA	L	"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner"
GW101-3H11_contig_1_4	1179778.PMM47T1_23072	7.50E-152	543.9	Gammaproteobacteria													Bacteria	"1MUE0@1224,1RQDB@1236,COG3950@1,COG3950@2"	NA|NA|NA	S	ATP-binding protein
GW101-3H11_contig_1_5	264730.PSPPH_1029	4.10E-61	241.5	Pseudomonas syringae group													Bacteria	"1RGA2@1224,1RZU3@1236,1Z8GM@136849,COG1403@1,COG1403@2"	NA|NA|NA	V	HNH endonuclease
GW101-3H11_contig_1_6	498211.CJA_1585	3.50E-136	491.9	Cellvibrio				"ko:K06194,ko:K19304"					"ko00000,ko01000,ko01002,ko01011"	1.A.34.1.2			Bacteria	"1FII5@10,1MXRZ@1224,1RR9E@1236,COG4942@1,COG4942@2"	NA|NA|NA	D	Protein of unknown function (DUF3375)
GW101-3H11_contig_1_7	1046724.KB889930_gene1320	1.20E-47	196.8	Gammaproteobacteria													Bacteria	"1R6H1@1224,1S0T7@1236,28N0W@1,2ZB75@2"	NA|NA|NA	S	Domain of unknown function (DUF4194)
GW101-3H11_contig_1_8	1046724.KB889930_gene1319	1.50E-256	892.9	Gammaproteobacteria													Bacteria	"1N16Z@1224,1RPTX@1236,COG4913@1,COG4913@2"	NA|NA|NA	S	protein conserved in bacteria
GW101-3H11_contig_1_9	1122201.AUAZ01000019_gene1772	7.20E-92	344.4	Gammaproteobacteria													Bacteria	"1P11B@1224,1RYWN@1236,COG4924@1,COG4924@2"	NA|NA|NA	S	protein conserved in bacteria
GW101-3H11_contig_1_10	358220.C380_00025	5.30E-74	283.5	Comamonadaceae	XK27_05000			ko:K06940					ko00000				Bacteria	"1RI32@1224,2VRGA@28216,4ADWY@80864,COG0727@1,COG0727@2"	NA|NA|NA	S	Putative zinc- or iron-chelating domain
