,gene,enzyme KO,superpathway,pathway,subpathway,enzyme,superpathway KO,pathway KO,subpathway KO,3H11-T42,3H11-T53,SynCom-T42,SynCom-T53,SynCom-T71,SynCom-T95
38,GW101-3H11_contig_1_28,K00375,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,K00375; GntR family transcriptional regulator / MocR family,ko09180,ko09182,ko03000,-0.024536551372738278,1.884472644251949,-0.6993672387225027,-1.3304869447056906,0.3802679406148376,-0.2103498500658574
121,GW101-3H11_contig_1_90,K01628,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,fucA; L-fuculose-phosphate aldolase,ko09100,ko09101,ko00040,-1.096436229837557,-1.391334759969459,-0.3079001198818939,0.6036327228451872,1.0832895628432424,1.1087488240004812
122,GW101-3H11_contig_1_90,K01628,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism,fucA; L-fuculose-phosphate aldolase,ko09100,ko09101,ko00051,-1.096436229837557,-1.391334759969459,-0.3079001198818939,0.6036327228451872,1.0832895628432424,1.1087488240004812
123,GW101-3H11_contig_1_90,K22130,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC,otnC; 3-dehydro-4-phosphotetronate decarboxylase,ko09190,ko09191,ko99980,-1.096436229837557,-1.391334759969459,-0.3079001198818939,0.6036327228451872,1.0832895628432424,1.1087488240004812
176,GW101-3H11_contig_1_158,K00798,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism,"MMAB, pduO; cob(I)alamin adenosyltransferase",ko09100,ko09108,ko00860,0.36927917638495755,-2.223511793543541,0.5588827070694282,0.25441947916472757,0.5007046333696813,0.5402257975547473
177,GW101-3H11_contig_1_158,K13821,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism","putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2",ko09100,ko09105,ko00250,0.36927917638495755,-2.223511793543541,0.5588827070694282,0.25441947916472757,0.5007046333696813,0.5402257975547473
178,GW101-3H11_contig_1_158,K13821,Metabolism,Amino acid metabolism,Arginine and proline metabolism,"putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2",ko09100,ko09105,ko00330,0.36927917638495755,-2.223511793543541,0.5588827070694282,0.25441947916472757,0.5007046333696813,0.5402257975547473
179,GW101-3H11_contig_1_158,K13821,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,"putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2",ko09180,ko09182,ko03000,0.36927917638495755,-2.223511793543541,0.5588827070694282,0.25441947916472757,0.5007046333696813,0.5402257975547473
221,GW101-3H11_contig_1_203,K00285,Metabolism,Amino acid metabolism,Phenylalanine metabolism,dadA; D-amino-acid dehydrogenase,ko09100,ko09105,ko00360,1.8170424668589142,-0.04390588720546334,-0.626208679115776,-0.996282808186908,0.7310164740532638,-0.8816615664040206
222,GW101-3H11_contig_1_203,K00285,Metabolism,Metabolism of other amino acids,D-Amino acid metabolism,dadA; D-amino-acid dehydrogenase,ko09100,ko09106,ko00470,1.8170424668589142,-0.04390588720546334,-0.626208679115776,-0.996282808186908,0.7310164740532638,-0.8816615664040206
245,GW101-3H11_contig_1_216,K02584,Environmental Information Processing,Signal transduction,Two-component system,nifA; Nif-specific regulatory,ko09130,ko09132,ko02020,-0.1937347347054661,2.1610524688771355,-0.7911639838793887,-0.08802572122981873,-0.3615553866159588,-0.7265726424464983
