feature_id	gene_id	RAST	psort_loc	psort_loc_score	psort_loc_details	psort_loc_sec
1_917_gene	FW510-R12_contig_1_917	hypothetical protein	Unknown	2.50		
1_244_gene	FW510-R12_contig_1_244	hypothetical protein	Cytoplasmic	8.96		
1_2038_gene	FW510-R12_contig_1_2038	hypothetical protein	Cytoplasmic	8.96		
1_711_gene	FW510-R12_contig_1_711	hypothetical protein	Unknown	2.00		
1_2437_gene	FW510-R12_contig_1_2437	hypothetical protein	Cytoplasmic	8.96		
1_209_gene	FW510-R12_contig_1_209	hypothetical protein	Unknown	2.00		
2_108_gene	FW510-R12_contig_2_108	hypothetical protein	Unknown	2.00		
1_867_gene	FW510-R12_contig_1_867	hypothetical protein	Unknown	2.00		
2_70_gene	FW510-R12_contig_2_70	hypothetical protein	Extracellular	9.65		
1_2478_gene	FW510-R12_contig_1_2478	hypothetical protein	Unknown	2.00		
1_821_gene	FW510-R12_contig_1_821	hypothetical protein	Cytoplasmic	8.96		
1_2842_gene	FW510-R12_contig_1_2842	hypothetical protein	Unknown	2.50		
1_2637_gene	FW510-R12_contig_1_2637	hypothetical protein	Unknown	2.50		
1_959_gene	FW510-R12_contig_1_959	hypothetical protein	Unknown	2.50		
1_30_gene	FW510-R12_contig_1_30	hypothetical protein	CytoplasmicMembrane	9.82		
1_1226_gene	FW510-R12_contig_1_1226	hypothetical protein	CytoplasmicMembrane	9.86		
1_3011_gene	FW510-R12_contig_1_3011	hypothetical protein	Unknown	2.50		
1_2597_gene	FW510-R12_contig_1_2597	hypothetical protein	Unknown	2.00		
1_910_gene	FW510-R12_contig_1_910	hypothetical protein	CytoplasmicMembrane	10.00		
1_1606_gene	FW510-R12_contig_1_1606	hypothetical protein	CytoplasmicMembrane	9.82		
1_822_gene	FW510-R12_contig_1_822	hypothetical protein	Unknown	2.00		
2_194_gene	FW510-R12_contig_2_194	hypothetical protein	Cytoplasmic	8.96		
2_181_gene	FW510-R12_contig_2_181	hypothetical protein	Unknown	4.90	(This protein may have multiple localization sites.)	
2_196_gene	FW510-R12_contig_2_196	hypothetical protein	Unknown	2.00		
1_2132_gene	FW510-R12_contig_1_2132	hypothetical protein	Unknown	2.00		
1_2968_gene	FW510-R12_contig_1_2968	hypothetical protein	Unknown	2.50		
